id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,nombre,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas
89548,57077,2025-04-20,444000,8,No disponible,1184,Cabaña en Mataró,Mataró,148000,2,2026-10-04,2026-10-07,
90064,65662,2025-06-09,2160000,3,No disponible,432,Loews Hotels,Zaragoza,144000,1,2025-09-29,2025-10-04,
91443,65205,2025-08-27,132000,7,No disponible,308,Casa en Avilés,Avilés,44000,2,2026-05-23,2026-05-26,
91480,64404,2026-02-23,1550000,5,No disponible,310,Loews Hotels,Santa Lucía de Tirajana,62000,4,2026-09-08,2026-09-13,
92093,57529,2025-08-17,186000,2,No disponible,62,Habitación en Getafe,Getafe,31000,3,2026-11-15,,
92101,57529,2026-06-20,156000,2,No disponible,156,Red Lion Hotels Corporation,Salamanca,78000,5,2026-11-23,2026-11-24,
92128,65203,2025-10-13,5000,1,No disponible,5,Marriott International,Valencia,5000,2,2026-01-13,2026-01-14,
92251,61598,2025-06-09,520000,10,No disponible,260,Loews Hotels,Guadalajara,26000,3,2026-07-26,2026-07-28,
92369,58821,2026-02-07,104000,1,No disponible,52,Mandarin Oriental,Ceuta,52000,3,2026-09-24,2026-09-26,
92673,56790,2026-01-01,1035000,3,No disponible,345,Aman Resorts,Fuengirola,115000,3,2026-05-14,2026-05-17,
93178,61741,2025-09-17,30000,7,No disponible,210,Hostal en Marbella,Marbella,30000,1,2026-08-08,2026-08-09,
93240,66223,2025-02-28,609000,3,No disponible,261,Cabaña en Zaragoza,Zaragoza,87000,2,2025-03-16,2025-03-23,
94161,56880,2025-02-09,540000,5,No disponible,270,Hyatt Hotels Corporation,Almería,54000,4,2026-04-11,2026-04-13,
94171,56839,2025-04-08,232000,2,No disponible,232,Loft en Jerez de la Frontera,Jerez de la Frontera,116000,4,2025-09-21,2025-09-23,
94837,64341,2025-05-12,200000,9,No disponible,900,Hostal en Vigo,Vigo,100000,2,2025-07-03,2025-07-05,
96496,66192,2025-10-22,1212000,4,No disponible,404,Drury Hotels,Cáceres,101000,1,2025-11-14,,
96508,61282,2025-02-01,616000,8,No disponible,88,Radisson Hotel Group,Mollet del Vallés,11000,4,2025-02-10,2025-02-17,
96759,63593,2025-09-22,3696000,8,No disponible,616,Drury Hotels,Talavera de la Reina,77000,3,2026-12-02,2026-12-08,
97027,61713,2025-05-23,36000,1,No disponible,18,Six Senses Hotels Resorts Spas,Santa Coloma de Gramanet,18000,4,2026-01-26,2026-01-28,
97383,57880,2025-08-26,428000,1,No disponible,107,Omni Hotels & Resorts,Sevilla,107000,4,2025-10-03,,
97798,59825,2025-11-14,140000,9,No disponible,315,Habitación en Toledo,Toledo,35000,4,2025-11-29,2025-12-03,
98489,62089,2025-01-01,500000,6,No disponible,600,Casa en Cáceres,Cáceres,100000,4,2025-10-19,2025-10-24,
98650,60480,2026-02-02,980000,6,No disponible,840,Habitación en Salamanca,Salamanca,140000,5,2026-04-07,2026-04-14,
98675,65570,2025-07-13,4700000,10,No disponible,940,Melia Hotels International,Fuengirola,94000,2,2026-05-19,2026-05-24,
98717,56981,2025-10-30,68000,5,No disponible,170,Habitación en Dos Hermanas,Dos Hermanas,34000,4,2026-04-19,2026-04-21,
98818,59577,2025-06-19,160000,5,No disponible,40,Caesars Entertainment,Orense,8000,5,2025-12-15,2025-12-19,
100476,65459,2025-05-15,3564000,9,No disponible,1188,AccorHotels,Roquetas de Mar,132000,5,2026-08-02,2026-08-05,
100595,57628,2025-07-06,294000,5,No disponible,245,Residencia en El Puerto de Santa María,El Puerto de Santa María,49000,1,2025-10-30,2025-11-05,
100682,65583,2025-04-06,210000,7,No disponible,105,Radisson Hotel Group,Orihuela,15000,2,2025-12-23,,
101320,65868,2025-03-18,315000,6,No disponible,378,Cabaña en Granollers,Granollers,63000,5,2025-09-15,,
101326,65868,2025-06-02,90000,6,No disponible,540,Cabaña en Almería,Almería,90000,4,2025-09-21,2025-09-22,
101840,61002,2025-01-13,864000,2,No disponible,144,Best Western Hotels & Resorts,Gandía,72000,3,2025-02-14,2025-02-20,
109767,58225,2025-11-05,1974000,7,No disponible,329,Fairmont Hotels & Resorts,Alcobendas,47000,5,2026-02-14,2026-02-20,
101997,60195,2025-03-09,3906000,7,No disponible,651,Rosewood Hotels & Resorts,Gandía,93000,4,2026-04-22,2026-04-28,
102371,55544,2025-12-17,4662000,9,No disponible,666,Mandarin Oriental,Madrid,74000,4,2026-01-12,2026-01-19,
102557,58075,2025-05-05,910000,7,No disponible,182,Omni Hotels & Resorts,Pozuelo de Alarcón,26000,2,2026-09-23,2026-09-28,
102637,65448,2025-05-22,3800000,10,No disponible,760,MGM Resorts International,Inca,76000,2,2025-10-30,2025-11-04,
103387,66393,2025-05-02,34000,9,No disponible,153,Loft en Granollers,Granollers,17000,3,2025-09-29,2025-10-01,
103422,59976,2025-07-19,651000,7,No disponible,651,Residencia en Ciudad Real,Ciudad Real,93000,3,2026-01-17,2026-01-24,
104210,59348,2025-03-23,1000000,8,No disponible,200,Omni Hotels & Resorts,Dos Hermanas,25000,4,2025-04-05,,
105024,58856,2025-08-17,2900000,10,No disponible,1450,Kimpton Hotels & Restaurants,Gerona,145000,4,2025-10-31,2025-11-02,
106753,56029,2025-07-20,44000,5,No disponible,55,Casa en Estepona,Estepona,11000,1,2026-08-11,2026-08-15,
106855,56713,2025-06-04,384000,1,No disponible,96,Residencia en Benalmádena,Benalmádena,96000,2,2025-10-08,2025-10-12,
107336,56394,2025-08-15,2541000,3,No disponible,363,,Albacete,121000,3,2025-11-30,2025-12-07,
107558,63767,2025-09-14,2880000,8,No disponible,480,Six Senses Hotels Resorts Spas,Alcalá de Guadaira,60000,2,2025-10-21,2025-10-27,
107646,55548,2025-02-07,1232000,7,No disponible,308,InterContinental Hotels Group (IHG),Elda,44000,3,2025-02-27,2025-03-03,
107656,61267,2025-02-14,546000,2,No disponible,182,Marriott International,Segovia,91000,4,2025-04-11,2025-04-14,
107890,63786,2025-04-25,292000,2,No disponible,292,Marriott International,Inca,146000,4,2025-06-08,2025-06-09,
108032,64031,2025-03-17,1125000,9,No disponible,1125,AccorHotels,Córdoba,125000,1,2025-12-28,,
109729,56485,2025-05-08,238000,6,No disponible,204,Departamento en Collado Villalba,Collado Villalba,34000,3,2025-12-20,2025-12-27,
109989,64881,2025-02-03,93000,4,No disponible,372,Suite en Lugo,Lugo,93000,4,2025-03-26,2025-03-27,
110667,59405,2025-01-19,2184000,7,No disponible,546,Four Seasons Hotels & Resorts,Santa Coloma de Gramanet,78000,1,2025-06-24,2025-06-28,
111671,61869,2025-11-11,972000,6,No disponible,162,Radisson Hotel Group,Santiago de Compostela,27000,2,2026-05-26,2026-06-01,
111819,63345,2025-01-06,140000,3,No disponible,420,Residencia en Almería,Almería,140000,4,2025-04-18,2025-04-19,
111968,63932,2025-11-09,524000,10,No disponible,1310,Casa en Talavera de la Reina,Talavera de la Reina,131000,1,2026-01-06,2026-01-10,
111981,63455,2025-10-01,7830000,9,No disponible,1305,Four Seasons Hotels & Resorts,Telde,145000,5,2026-03-27,2026-04-02,
112224,65994,2025-06-06,900000,6,No disponible,900,Hostal en Hospitalet de LLobregat,Hospitalet de LLobregat,150000,5,2026-01-14,2026-01-20,
112405,57137,2025-03-27,54000,3,No disponible,162,Cabaña en Vigo,Vigo,54000,4,2026-05-07,2026-05-08,
112598,56288,2025-04-02,98000,2,No disponible,98,Caesars Entertainment,El Ejido,49000,4,2025-04-06,2025-04-07,
112892,63585,2025-08-11,110000,8,No disponible,440,Residencia en Lorca,Lorca,55000,4,2026-07-13,2026-07-15,
113240,60059,2025-07-12,2520000,4,No disponible,420,Hilton Hotels & Resorts,Málaga,105000,5,2025-09-02,2025-09-08,
113698,63774,2025-02-02,1360000,5,No disponible,680,Belmond,Mijas,136000,2,2025-05-09,2025-05-11,
114499,63491,2025-03-07,3240000,5,No disponible,540,InterContinental Hotels Group (IHG),Fuenlabrada,108000,4,2025-04-24,2025-04-30,
114719,66258,2025-01-14,756000,3,No disponible,378,Wyndham Hotels & Resorts,Badalona,126000,5,2026-08-09,2026-08-11,
115007,58541,2025-07-08,564000,6,No disponible,564,Marriott International,Tarragona,94000,2,2025-09-21,2025-09-22,
115237,61854,2025-01-09,244000,1,No disponible,61,Cabaña en Hospitalet de LLobregat,Hospitalet de LLobregat,61000,2,2025-12-27,2025-12-31,
115691,57890,2025-04-09,2640000,10,No disponible,440,Hard Rock Hotels,Ferrol,44000,4,2026-01-26,2026-02-01,
115702,62807,2025-06-06,492000,7,No disponible,574,Cabaña en Lorca,Lorca,82000,1,2026-07-26,2026-08-01,
116061,59946,2026-09-09,125000,9,No disponible,1125,Cabaña en La Línea de la Concepción,La Línea de la Concepción,125000,2,2026-10-03,2026-10-04,
116122,56226,2026-03-23,264000,8,No disponible,88,Hyatt Hotels Corporation,Ceuta,11000,4,2026-10-12,2026-10-15,
116131,56246,2025-02-07,3100000,5,No disponible,620,AccorHotels,Zaragoza,124000,2,2025-09-19,2025-09-24,
116172,64827,2025-04-20,441000,7,No disponible,63,,Alcalá de Guadaira,9000,1,2025-12-25,,
116215,62218,2025-05-07,320000,5,No disponible,320,Rosewood Hotels & Resorts,Valladolid,64000,4,2025-05-14,2025-05-15,
116790,61011,2026-03-22,245000,7,No disponible,245,MGM Resorts International,Jaén,35000,5,2026-11-22,2026-11-23,
116811,57280,2025-01-06,800000,10,No disponible,200,Drury Hotels,Santa Cruz de Tenerife,20000,1,2025-01-08,2025-01-12,
116986,62279,2025-01-02,166000,7,No disponible,581,Departamento en Cáceres,Cáceres,83000,4,2025-01-03,2025-01-05,
117036,62847,2025-03-08,128000,3,No disponible,192,Hostal en Alcoy,Alcoy,64000,5,2025-12-17,2025-12-19,
117963,65554,2025-06-12,417000,5,No disponible,695,Villa en Bilbao,Bilbao,139000,2,2026-03-07,2026-03-10,
118516,64871,2025-08-05,49000,5,No disponible,245,Estudio en Badajoz,Badajoz,49000,2,2025-10-21,2025-10-22,
118648,55975,2025-04-06,548000,6,No disponible,822,Estudio en Palma de Mallorca,Palma de Mallorca,137000,1,2025-09-28,2025-10-02,
118869,60771,2025-02-14,48000,10,No disponible,120,Residencia en Rivas-Vaciamadrid,Rivas-Vaciamadrid,12000,4,2026-11-08,2026-11-12,
155968,,,,,Disponible,0,,León,26000,2,2025-05-20,2026-05-26,
119188,56230,2025-02-16,2940000,6,No disponible,420,Melia Hotels International,Málaga,70000,5,2025-04-09,2025-04-16,
119713,57470,2025-01-04,38000,4,No disponible,76,Departamento en Ponferrada,Ponferrada,19000,5,2025-04-02,2025-04-04,
119762,58546,2025-04-04,279000,5,No disponible,465,Suite en Albacete,Albacete,93000,2,2025-08-16,2025-08-19,
119929,58844,2025-01-17,36000,6,No disponible,54,Residencia en León,León,9000,2,2025-04-21,,
120029,58471,2025-10-30,924000,6,No disponible,132,Sonesta International Hotels,Lugo,22000,4,2026-01-18,2026-01-25,
120264,58998,2025-03-19,1456000,2,No disponible,208,Wyndham Hotels & Resorts,Mijas,104000,4,2025-06-01,2025-06-08,
120655,60823,2025-08-11,1755000,5,No disponible,585,Belmond,Móstoles,117000,3,2025-12-22,2025-12-25,
121074,56884,2025-03-26,366000,1,No disponible,122,,Cuenta,122000,4,2026-02-15,2026-02-18,
121627,58887,2025-02-09,24000,8,No disponible,48,Hostal en Oviedo,Oviedo,6000,4,2026-05-24,,
121809,56901,2025-01-25,234000,10,No disponible,780,Casa en Elche,Elche,78000,1,2025-05-27,2025-05-30,
122018,55876,2025-02-14,834000,1,No disponible,139,Shangri-La Hotels and Resorts,Toledo,139000,2,2025-11-19,2025-11-25,
122406,61429,2025-07-31,3960000,6,No disponible,792,Marriott International,Pozuelo de Alarcón,132000,1,2025-11-01,2025-11-06,
122638,58547,2025-05-18,580000,10,No disponible,1450,Villa en Rivas-Vaciamadrid,Rivas-Vaciamadrid,145000,3,2025-07-14,2025-07-18,
123150,56731,2025-12-22,588000,4,No disponible,196,Omni Hotels & Resorts,Córdoba,49000,5,2026-02-01,2026-02-04,
123925,61019,2025-03-03,546000,5,No disponible,455,Loft en Torremolinos,Torremolinos,91000,5,2025-07-17,2025-07-23,
123983,63579,2025-05-17,119000,9,No disponible,153,Habitación en Cádiz,Cádiz,17000,4,2026-02-24,2026-03-03,
124883,60345,2025-09-14,8400000,10,No disponible,1400,Drury Hotels,Parla,140000,1,2026-03-23,2026-03-29,
124918,64163,2025-01-15,97000,3,No disponible,291,Loft en Santa Coloma de Gramanet,Santa Coloma de Gramanet,97000,4,2025-04-22,2025-04-23,
125330,61121,2025-05-15,693000,9,No disponible,99,Aman Resorts,Granollers,11000,1,2025-09-13,2025-09-20,
126562,64202,2025-02-20,3060000,6,No disponible,612,Mandarin Oriental,Barcelona,102000,3,2025-04-11,2025-04-16,
126582,56982,2026-02-02,148000,9,No disponible,333,Habitación en Torrejón de Ardoz,Torrejón de Ardoz,37000,3,2026-05-27,2026-05-31,
126833,57024,2025-01-02,576000,3,No disponible,432,Casa en Santa Lucía de Tirajana,Santa Lucía de Tirajana,144000,5,2025-03-01,2025-03-05,
127028,63811,2025-05-10,416000,8,No disponible,832,Villa en Jaén,Jaén,104000,3,2025-07-21,,
127189,64646,2025-03-06,212000,1,No disponible,106,Casa en Lugo,Lugo,106000,3,2025-05-01,2025-05-03,
127667,60411,2025-09-10,192000,1,No disponible,96,Mandarin Oriental,Mataró,96000,5,2025-09-16,2025-09-18,
127724,56992,2026-05-27,725000,1,No disponible,145,Hilton Hotels & Resorts,Leganés,145000,5,2026-10-26,,
127782,57722,2025-03-21,342000,2,No disponible,114,Cabaña en Málaga,Málaga,57000,3,2025-12-26,2026-01-01,
127955,65516,2025-04-28,198000,10,No disponible,660,Habitación en Segovia,Segovia,66000,1,2025-05-26,2025-05-29,
128136,59301,2025-01-07,460000,9,No disponible,1035,Villa en Getafe,Getafe,115000,4,2025-03-19,2025-03-23,
128208,63913,2025-01-15,70000,1,No disponible,70,Rosewood Hotels & Resorts,Hospitalet de LLobregat,70000,3,2025-10-12,2025-10-13,
128242,55938,2025-12-30,25000,8,No disponible,40,Casa en Palma de Mallorca,Palma de Mallorca,5000,1,2026-02-17,2026-02-22,
128392,59791,2025-04-14,174000,2,No disponible,116,Suite en Paterna,Paterna,58000,1,2025-06-27,2025-06-30,
128648,58231,2026-06-24,4050000,10,No disponible,1350,Hilton Hotels & Resorts,Cáceres,135000,3,2026-08-03,2026-08-06,
128781,66217,2025-12-24,5000000,10,No disponible,1250,Red Lion Hotels Corporation,Algeciras,125000,5,2026-01-23,2026-01-27,
129075,61458,2025-01-23,36000,2,No disponible,18,Habitación en Lérida,Lérida,9000,2,2025-04-30,2025-05-04,
129501,61857,2025-11-24,128000,7,No disponible,896,Cabaña en Fuengirola,Fuengirola,128000,4,2026-03-30,2026-03-31,
129887,60195,2025-01-07,834000,2,No disponible,278,Suite en Ceuta,Ceuta,139000,4,2026-06-16,2026-06-22,
129955,55690,2025-01-30,212000,5,No disponible,265,Departamento en Huelva,Huelva,53000,2,2025-08-11,2025-08-15,
130655,61651,2026-06-29,1960000,5,No disponible,490,Fairmont Hotels & Resorts,Gerona,98000,2,2026-09-30,2026-10-04,
130875,65294,2026-04-27,504000,2,No disponible,144,Suite en Paterna,Paterna,72000,5,2026-10-04,2026-10-11,
132434,65600,2025-09-27,4900000,7,No disponible,700,Six Senses Hotels Resorts Spas,La Coruña,100000,3,2026-02-13,2026-02-20,
132784,56869,2025-05-30,1440000,5,No disponible,720,Loews Hotels,Tarragona,144000,3,2025-05-31,,
132932,62125,2025-06-02,435000,2,No disponible,174,Cabaña en Alcobendas,Alcobendas,87000,3,2025-10-03,,
133325,61233,2025-02-19,204000,2,No disponible,68,Shangri-La Hotels and Resorts,Marbella,34000,4,2026-09-02,2026-09-05,
133499,61733,2025-01-14,1164000,3,No disponible,291,Melia Hotels International,Mataró,97000,5,2025-05-22,2025-05-26,
133611,65943,2025-08-14,154000,10,No disponible,770,Residencia en Torremolinos,Torremolinos,77000,3,2026-09-11,2026-09-13,
133677,61542,2025-10-27,952000,6,No disponible,816,,Vigo,136000,5,2026-03-08,2026-03-15,
133752,56583,2025-03-29,704000,8,No disponible,704,Loews Hotels,Dos Hermanas,88000,1,2026-02-09,2026-02-10,
133850,60399,2025-03-14,1704000,4,No disponible,284,Hilton Hotels & Resorts,Jerez de la Frontera,71000,4,2025-07-27,2025-08-02,
134341,55733,2025-09-09,5472000,8,No disponible,912,Radisson Hotel Group,Guadalajara,114000,4,2026-08-29,2026-09-04,
134442,63006,2025-10-14,4760000,8,No disponible,680,Fairmont Hotels & Resorts,Santa Lucía de Tirajana,85000,5,2026-08-11,2026-08-18,
135720,64693,2025-06-26,384000,8,No disponible,128,Melia Hotels International,San Sebastían de los Reyes,16000,1,2025-07-13,2025-07-16,
136638,60813,2025-06-26,309000,9,No disponible,927,Habitación en Elda,Elda,103000,1,2026-01-01,2026-01-04,
136812,65064,2025-04-07,198000,7,No disponible,693,Residencia en Sabadell,Sabadell,99000,1,2026-04-16,2026-04-18,
137417,61951,2025-04-21,174000,1,No disponible,58,Suite en Palencia,Palencia,58000,5,2025-10-05,2025-10-08,
137842,60155,2025-05-27,194000,5,No disponible,485,Hostal en Murcia,Murcia,97000,2,2026-08-16,2026-08-18,
138247,60479,2025-08-27,180000,1,No disponible,30,Radisson Hotel Group,Pozuelo de Alarcón,30000,4,2026-09-28,2026-10-04,
138334,60680,2025-07-15,1080000,10,No disponible,1080,InterContinental Hotels Group (IHG),Linares,108000,4,2025-07-21,2025-07-22,
138614,62472,2025-10-25,819000,8,No disponible,936,Residencia en Sanlúcar de Barrameda,Sanlúcar de Barrameda,117000,5,2026-08-24,2026-08-31,
138785,66050,2025-02-27,572000,3,No disponible,429,Loft en Castellón de la Plana,Castellón de la Plana,143000,5,2026-02-23,2026-02-27,
138972,59942,2025-01-06,316000,5,No disponible,395,Departamento en Reus,Reus,79000,3,2025-04-25,2025-04-29,
139091,55551,2025-08-20,264000,8,No disponible,1056,Villa en Gandía,Gandía,132000,4,2025-10-06,2025-10-08,
139143,58739,2025-08-13,336000,6,No disponible,672,Estudio en Parla,Parla,112000,5,2026-11-10,2026-11-13,
139390,59915,2025-02-14,114000,8,No disponible,152,Villa en Cerdañola del Vallés,Cerdañola del Vallés,19000,3,2025-10-18,2025-10-24,
139673,55601,2026-02-12,588000,7,No disponible,588,Cabaña en Ponferrada,Ponferrada,84000,5,2026-02-25,2026-03-04,
139880,57597,2025-02-03,77000,4,No disponible,44,Residencia en Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,11000,3,2025-02-08,2025-02-15,
140123,62096,2025-09-25,6240000,8,No disponible,1040,Omni Hotels & Resorts,Irún,130000,1,2026-08-09,2026-08-15,
140293,64850,2026-04-26,3618000,9,No disponible,603,Choice Hotels International,Palma de Mallorca,67000,4,2026-11-13,2026-11-19,
140336,66564,2025-05-08,4260000,6,No disponible,852,Belmond,Cerdañola del Vallés,142000,5,2025-06-10,2025-06-15,
141521,58850,2025-02-12,40000,10,No disponible,80,Habitación en Talavera de la Reina,Talavera de la Reina,8000,3,2025-07-07,,
141825,64443,2025-05-24,249000,1,No disponible,83,Sonesta International Hotels,Córdoba,83000,5,2025-06-25,2025-06-28,
141906,66518,2026-08-10,222000,9,No disponible,999,Residencia en Gerona,Gerona,111000,2,2026-09-06,2026-09-08,
142133,63280,2026-06-10,66000,8,No disponible,528,Residencia en Lugo,Lugo,66000,4,2026-08-14,2026-08-15,
142212,66459,2025-08-10,423000,8,No disponible,1128,,Valencia,141000,4,2025-09-12,2025-09-15,
142364,55772,2025-05-05,3060000,10,No disponible,1020,Omni Hotels & Resorts,Móstoles,102000,5,2025-08-07,2025-08-10,
142488,56762,2025-07-02,304000,4,No disponible,304,Estudio en Pamplona,Pamplona,76000,2,2025-09-10,2025-09-14,
142683,63947,2025-08-27,424000,4,No disponible,424,NH Hotel Group,Ceuta,106000,5,2025-09-22,2025-09-23,
142816,59491,2025-04-05,540000,9,No disponible,972,Residencia en Viladecans,Viladecans,108000,3,2026-05-24,2026-05-29,
143015,62634,2025-04-07,156000,2,No disponible,52,Suite en Ferrol,Ferrol,26000,1,2025-08-18,2025-08-24,
143094,58293,2026-01-16,3280000,8,No disponible,656,,Sevilla,82000,4,2026-04-08,2026-04-13,
143198,60937,2025-01-31,288000,10,No disponible,720,Suite en Baracaldo,Baracaldo,72000,3,2025-03-05,2025-03-09,
143529,55864,2025-09-18,258000,6,No disponible,774,Cabaña en Cádiz,Cádiz,129000,1,2025-11-24,2025-11-26,
143704,63806,2025-03-09,114000,2,No disponible,114,Best Western Hotels & Resorts,Paterna,57000,2,2025-04-29,2025-04-30,
143778,65424,2025-02-14,924000,4,No disponible,308,MGM Resorts International,Telde,77000,2,2025-06-17,2025-06-20,
143925,58714,2025-02-17,34000,3,No disponible,51,Villa en Ponferrada,Ponferrada,17000,5,2025-11-26,,
143932,56473,2026-07-10,136000,8,No disponible,544,Residencia en Ávila,Ávila,68000,3,2026-07-24,2026-07-26,
144103,56137,2025-08-05,204000,3,No disponible,204,Habitación en La Coruña,La Coruña,68000,4,2025-11-22,2025-11-25,
144381,66178,2025-01-03,798000,10,No disponible,1140,Hostal en Toledo,Toledo,114000,2,2025-11-03,2025-11-10,
144395,59445,2026-01-18,160000,4,No disponible,40,AccorHotels,San Sebastián,10000,4,2026-04-12,2026-04-16,
144535,56395,2025-01-26,8631000,9,No disponible,1233,InterContinental Hotels Group (IHG),Orense,137000,4,2025-02-03,2025-02-10,
154629,,,,,Disponible,0,NH Hotel Group,Barcelona,49000,4,2026-01-01,2026-11-22,
154642,,,,,Disponible,0,Kimpton Hotels & Restaurants,Algeciras,136000,4,2025-12-01,2026-06-18,
154665,,,,,Disponible,0,Mandarin Oriental,Gijón,92000,3,2025-09-17,2026-04-01,
154668,,,,,Disponible,0,,Ferrol,137000,3,2026-01-19,2026-07-11,
