id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,empresa,nombre,descripcion,ubicacion,duracion,precio_persona,capacidad,restricciones,fecha_panorama
78606,58541,2026-02-13,156000,6,No disponible,156,Trafalgar,Visita,Descubre la gastronomía local,Viladecans,,26000,18,{},2026-08-09
78617,58286,2025-08-04,435000,5,No disponible,435,Flight Centre Travel Group,Visita,Aventúrate en la montaña,,,87000,21,{},2026-03-09
78622,58286,2025-12-01,310000,5,No disponible,310,Pullman Bus,,,,,,31,{},
78623,58286,2025-03-01,72000,5,No disponible,360,,,Disfruta de una estadía en el corazón de la ciudad,El Prat de LLobregat,,,,{},
78636,61637,2025-08-24,132000,4,No disponible,132,BCD Travel,,Disfruta de un día en la naturaleza,Benidorm,4,33000,49,{},2026-02-11
78643,64235,2025-03-02,114000,3,No disponible,114,,,Aventúrate en la naturaleza y descansa en un lugar cómodo,Torrelavega,,,,{},
78704,63279,2026-02-26,524000,4,No disponible,524,Condor Bus,,,,,,33,{},
78712,59495,2026-01-08,2130000,5,No disponible,2130,VR (Finlandia),,,,,,16,{},
78728,60783,2025-08-27,163000,1,No disponible,163,Wizz Air,,,,,,14,{},
78759,61264,2025-06-26,30000,6,No disponible,30,Southwest Airlines,,,,,,48,{},
78773,64517,2025-12-26,798000,6,No disponible,798,CD (República Checa),,,,,,2,{},
78788,63963,2025-11-03,1056000,8,No disponible,176,,,,Torremolinos,,,,{},
78797,66032,2025-03-23,4260000,6,No disponible,852,,,,Guadalajara,,,,{},
78816,55808,2025-02-11,1524000,2,No disponible,254,,,,Ferrol,,,,{},
78837,60796,2025-02-01,464000,8,No disponible,464,VRZ (Croacia),,,,,,,{},
78839,55892,2025-01-08,801000,9,No disponible,801,Crucero del Norte,,,,,,32,,
78841,60607,2025-06-03,1296000,9,No disponible,1296,,,,Mataró,,,,{},
78842,60607,2025-02-05,450000,9,No disponible,450,All Nippon Airways (ANA),,,,,,66,{},
78843,60607,2025-01-13,963000,9,No disponible,963,Ethiopian Airlines,,,,,,39,,
78851,60171,2025-10-01,785000,5,No disponible,785,Buses Bio Bio,,,,,,40,{},
78855,60171,2025-02-24,405000,5,No disponible,405,Kuoni,Excursión,Aventúrate en la montaña,Gandía,2,,11,{},2025-12-24
78861,62038,2025-10-12,255000,5,No disponible,255,Estrella Roja,,,,,,,,
78863,62038,2025-03-09,155000,5,No disponible,155,,,Descubre la historia de la ciudad desde tu ventana,Torremolinos,,,,{},
78868,62250,2025-09-05,1519000,7,No disponible,1519,Southwest Airlines,,,,,,21,{},
78872,62250,2025-11-15,2681000,7,No disponible,2681,Japan Airlines,,,,,,24,{},
78880,64201,2026-01-07,222000,3,No disponible,222,,,,Talavera de la Reina,,,,{},
78890,62701,2025-02-19,393000,3,No disponible,393,Air Canada,,,,,,78,{},
78891,62701,2025-01-22,192000,3,No disponible,288,,,Relájate en un lugar tranquilo y acogedor,Valencia,,,,{},
78897,57419,2025-08-02,1729000,7,No disponible,1729,NS International,,,,,,10,{},
78913,61239,2026-04-08,309000,3,No disponible,309,Buses Bio Bio,,,,,,38,{},
78925,61911,2025-02-08,2960000,8,No disponible,2960,DSB (Dinamarca),,,,,,12,{},
78937,59818,2025-05-07,540000,6,No disponible,540,G Adventures,,Disfruta de un día en la naturaleza,El Ejido,4,90000,30,{},
78938,59818,2026-03-16,168000,6,No disponible,168,Expedia Group,Aventura,Conoce la historia de la ciudad,,1,28000,30,{},
78940,60876,2026-02-17,312000,3,No disponible,312,Condor Bus,,,,,,40,{},
78942,60876,2025-08-23,7000,3,No disponible,21,,,Descubre la historia de la ciudad desde tu ventana,Santa Coloma de Gramanet,,,,{},
78982,59953,2025-04-03,477000,3,No disponible,477,BDZ (Bulgaria),,,,,,33,{},
78983,59953,2025-02-06,2610000,3,No disponible,435,,,,Sevilla,,,,,
78989,59953,2025-04-20,255000,3,No disponible,255,ŽSSK (Eslovaquia),,,,,,88,{},
78996,59507,2025-06-24,1216000,8,No disponible,1216,ŽFBH (Bosnia y Herzegovina),,,,,,66,{},
79003,66365,2025-08-31,721000,7,No disponible,721,,,,,,,44,{},
79011,60046,2025-01-02,1085000,7,No disponible,1085,HŽ (Croacia),,,,,,95,{},
79012,60046,2025-01-02,725000,7,No disponible,1015,,,Relájate en un lugar tranquilo y acogedor,Motril,,,,{},
79018,60046,2025-01-02,130000,7,No disponible,182,,,Perfecto para familias y grupos grandes,,,,,{},
79038,57046,2025-04-11,894000,3,No disponible,894,NSB (Noruega),,,,,,69,{},
79041,57046,2025-01-07,105000,3,No disponible,105,Secret Escapes,Aventura,Descubre la gastronomía local,Valladolid,,35000,32,{},2025-04-21
79044,57046,2025-01-07,534000,3,No disponible,534,MÁV (Hungría),,,,,,93,{},
79055,58144,2025-10-02,1824000,6,No disponible,1824,Vueling,,,,,,93,{},
79068,64296,2025-04-24,688000,8,No disponible,344,,,,Orihuela,,,,{},
79071,64296,2026-03-26,2192000,8,No disponible,1096,,,,Santa Coloma de Gramanet,,,,{},
79073,62318,2025-01-28,819000,9,No disponible,819,Omnibus de México,,,,,,35,{},
79075,62318,2025-03-15,909000,9,No disponible,909,Alsa,,,,,,37,{},
79076,62318,2025-02-12,2304000,9,No disponible,1152,,,,Badalona,,,,{},
79084,56732,2025-07-04,76000,1,No disponible,76,GetYourGuide,,Relájate en la playa,Santa Lucía de Tirajana,2,76000,10,{},2026-10-12
79087,56732,2026-05-22,193000,1,No disponible,193,Italo,,,,,,8,{},
79095,60574,2025-01-04,193000,1,No disponible,193,Delta Air Lines,,,,,,70,{},
79097,60574,2025-01-24,141000,1,No disponible,141,Frontier Airlines,,,,,,23,{},
79098,60574,2025-01-20,325000,1,No disponible,325,Air Canada,,,,,,72,{},
79101,57829,2025-10-02,936000,9,No disponible,936,British Airways,,,,,,88,{},
79117,59943,2025-02-23,900000,9,No disponible,900,CD (República Checa),,,,,,12,{},
79118,59943,2025-04-25,539000,9,No disponible,693,,,Ideal para una escapada romántica,Puertollano,,,,{},
79132,56872,2025-01-08,258000,10,No disponible,860,,,Experimenta el lujo y la comodidad en este alojamiento,Collado Villalba,,,,{},
79136,66256,2025-10-09,1368000,9,No disponible,1368,Omnibus de México,,,,,,46,{},
79141,64987,2025-01-21,160000,8,No disponible,160,Travel Leaders Group,Aventura,Conoce la historia de la ciudad,Cáceres,6,,24,{},2025-08-20
79177,61071,2025-03-25,826000,7,No disponible,413,,,,Alicante,,,,{},
79181,65182,2025-01-13,232000,4,No disponible,232,Amtrak,,,,,,23,{},
79184,65182,2025-01-06,56000,4,No disponible,56,Abercrombie & Kent,Aventura,Conoce la historia de la ciudad,San Sebastián,7,,,{},2025-02-09
79203,60119,2025-02-02,721000,7,No disponible,721,ETN Turistar,,,,,,44,{},
79204,60119,2026-01-19,700000,7,No disponible,700,,,Ubicación céntrica con fácil acceso a atracciones turísticas,Cuenta,,,,{},
79205,60119,2025-12-10,371000,7,No disponible,371,Abercrombie & Kent,Paseo,Relájate en la playa,Cuenta,7,-53000,26,{},
79206,60119,2025-01-29,602000,7,No disponible,602,Flight Centre Travel Group,Visita,Aventúrate en la montaña,Cuenta,1,,,{},2026-04-14
79211,60119,2025-03-05,420000,7,No disponible,420,Monbus,,,,,,37,{},
79224,55943,2025-11-30,1140000,5,No disponible,1140,Amtrak,,,,,,71,{},
79231,55943,2025-01-31,1425000,5,No disponible,1425,Eurostar,,,,,,26,{},
79246,58270,2026-04-05,1740000,5,No disponible,290,,,,El Puerto de Santa María,,,,{},
79247,58270,2025-12-26,180000,5,No disponible,180,BCD Travel,Aventura,Aventúrate en la montaña,El Puerto de Santa María,,36000,24,{},2026-04-19
79257,56485,2025-03-25,1274000,7,No disponible,1274,TGV (SNCF),,,,,,46,{},
153954,,,,,Disponible,0,G Adventures,,,,4,37000,18,{},2026-12-11
79259,56485,2025-07-09,434000,7,No disponible,434,Eurostar,,,,,,12,{},
79266,65399,2025-01-05,1602000,9,No disponible,1602,Wizz Air,,,,,,,{},
79277,61250,2025-08-16,995000,5,No disponible,995,SBB (Suiza),,,,,,67,{},
79280,61250,2026-03-20,175000,5,No disponible,175,GetYourGuide,Aventura,Descubre la gastronomía local,Alcobendas,6,35000,19,{},
79281,61250,2026-01-15,1045000,5,No disponible,1045,Italo,,,,,,,{},
79282,61250,2026-01-23,213000,5,No disponible,355,,,Perfecto para familias y grupos grandes,Almería,,,,{},
79287,55852,2025-01-13,256000,4,No disponible,128,,,,El Prat de LLobregat,,,,{},
79292,55852,2025-01-30,160000,4,No disponible,160,TUI Group,Aventura,Disfruta de un día en la naturaleza,Ciudad Real,2,40000,,{},
79330,65551,2025-07-05,382000,1,No disponible,382,Ethiopian Airlines,,,,,,59,{},
79299,66274,2025-03-19,288000,3,No disponible,288,ZS (Eslovenia),,,,,,90,{},
79300,62349,2025-02-22,146000,1,No disponible,146,EasyJet,,,,,,46,{},
79306,66471,2025-04-27,3015000,9,No disponible,3015,ZFBH (Bosnia y Herzegovina),,,,,,4,{},
79308,56827,2025-05-27,228000,8,No disponible,608,,,Perfecto para familias y grupos grandes,Torremolinos,,,,{},
79318,61525,2025-03-17,1485000,9,No disponible,1485,FlixBus,,,,,,,{},
79321,61525,2025-01-27,432000,9,No disponible,216,,,,Badalona,,,,{},
79324,65551,2025-07-16,101000,1,No disponible,101,Emirates,,,,,,65,{},
79337,56338,2025-01-21,1161000,9,No disponible,1161,SNCB (Bélgica),,,,,,42,{},
79339,56338,2025-01-05,505000,9,No disponible,909,,,Relájate en un lugar tranquilo y acogedor,Santa Cruz de Tenerife,,,,{},
79347,64429,2026-05-02,40000,8,No disponible,40,American Express Global Business Travel,Aventura,Aventúrate en la montaña,Benidorm,,5000,28,{},2026-08-30
79353,64429,2025-01-06,520000,8,No disponible,520,CP (Portugal),,,,,,45,{},
79357,61177,2026-08-03,38000,2,No disponible,38,Flight Centre Travel Group,Visita,Aventúrate en la montaña,Palma de Mallorca,3,,12,{},
79360,61177,2025-09-09,178000,2,No disponible,178,Expedia Group,Paseo,Disfruta de un día en la naturaleza,La Línea de la Concepción,,89000,,,
79379,62695,2025-08-22,686000,3,No disponible,294,,,Experimenta el lujo y la comodidad en este alojamiento,Burgos,,,,{},
79401,59369,2025-10-26,36000,6,No disponible,36,Buses Romani,,,,,,46,{},
79403,59790,2025-02-20,1136000,4,No disponible,1136,RZD (Rusia),,,,,,63,{},
79429,63981,2025-02-02,1620000,4,No disponible,540,,,,Reus,,,,{},
79434,59106,2026-04-06,2256000,8,No disponible,2256,ŽFBH (Bosnia y Herzegovina),,,,,,39,{},
79457,61667,2025-05-27,1665000,9,No disponible,1665,Aeroméxico,,,,,,28,{},
79465,60405,2026-04-23,320000,4,No disponible,320,Booking Holdings,Paseo,Descubre la gastronomía local,Roquetas de Mar,2,,1,{},2026-08-24
79469,62751,2026-04-06,388000,2,No disponible,388,Air Canada,,,,,,59,{},
79470,62751,2025-07-22,284000,2,No disponible,284,Spirit Airlines,,,,,,78,{},
79474,62751,2026-04-04,178000,2,No disponible,178,Flight Centre Travel Group,Excursión,Aventúrate en la montaña,Linares,,89000,,{},2026-07-28
79482,60179,2025-04-23,1168000,8,No disponible,1168,Condor Bus,,,,,,48,{},
79497,56293,2026-07-12,440000,4,No disponible,440,BoltBus,,,,,,32,{},
79502,61268,2025-01-19,368000,6,No disponible,552,,,Relájate en un lugar tranquilo y acogedor,Oviedo,,,,{},
79505,61268,2025-02-02,228000,6,No disponible,228,Kuoni,Visita,Conoce la historia de la ciudad,Oviedo,6,38000,37,{},
79506,61268,2025-01-06,378000,6,No disponible,378,Flecha Bus,,,,,,43,{},
79512,58563,2025-09-15,1080000,8,No disponible,1080,,,,,,,28,{},
79515,65191,2025-03-14,2160000,6,No disponible,2160,SJ (Suecia),,,,,,75,{},
79516,62377,2025-02-23,828000,9,No disponible,828,Megabus,,,,,,31,{},
79517,62377,2025-01-23,372000,9,No disponible,558,,,,Coslada,,,,,
79524,62377,2025-01-15,918000,9,No disponible,918,ADO,,,,,,48,{},
79531,57909,2025-07-02,1540000,10,No disponible,1540,Buses Nilahue,,,,,,49,{},
79532,57909,2026-02-12,400000,10,No disponible,80,,,,Cádiz,,,,{},
79537,57909,2025-04-06,1470000,10,No disponible,1470,Estrella Roja,,,,,,49,,
79538,57909,2026-02-20,4140000,10,No disponible,690,,,,Badajoz,,,,{},
79543,57909,2025-03-02,880000,10,No disponible,880,,,Aventúrate en la montaña,Badajoz,3,88000,28,,2026-09-28
79544,57909,2026-01-04,1920000,10,No disponible,1920,Condor Bus,,,,,,50,,
79546,63622,2025-06-15,511000,7,No disponible,511,Greyhound,,,,,,31,{},
79548,63622,2025-07-18,720000,7,No disponible,1008,,,Relájate en un lugar tranquilo y acogedor,Alcoy,,,,{},
79554,63622,2025-04-23,336000,7,No disponible,392,,,Perfecto para familias y grupos grandes,Alicante,,,,{},
79561,64411,2025-03-13,3150000,10,No disponible,3150,Nederlandse Sp,,,,,,30,{},
79562,64411,2025-01-02,660000,10,No disponible,660,SBB (Suiza),,,,,,8,{},
79563,64411,2025-04-27,525000,10,No disponible,750,,,Descubre la historia de la ciudad desde tu ventana,Logroño,,,,{},
79570,64411,2025-03-16,740000,10,No disponible,740,VR (Finlandia),,,,,,59,{},
79576,63909,2025-10-16,188000,2,No disponible,188,Via Bariloche,,,,,,47,{},
79577,63662,2025-02-06,280000,10,No disponible,280,El Rápido Internacional,,,,,,36,{},
79602,63786,2025-07-24,42000,2,No disponible,84,,,Ideal para una escapada romántica,Torremolinos,,,,{},
79636,65536,2026-01-13,21000,2,No disponible,42,,,Perfecto para familias y grupos grandes,Torrelavega,,,,{},
79637,62373,2025-03-31,192000,2,No disponible,192,Frontier Airlines,,,,,,91,{},
79638,62373,2025-07-15,708000,2,No disponible,708,Singapore Airlines,,,,,,49,{},
79641,62802,2025-06-24,145000,10,No disponible,1450,,,Relájate en un lugar tranquilo y acogedor,Salamanca,,,,{},
79644,62273,2025-07-21,141000,6,No disponible,282,,,Aventúrate en la naturaleza y descansa en un lugar cómodo,Rubí,,,,{},
79649,62273,2026-03-09,2358000,6,No disponible,786,,,,Reus,,,,{},
79652,56145,2025-03-01,348000,4,No disponible,348,FlixBus,,,,,,34,{},
79671,63625,2025-01-02,4585000,7,No disponible,917,,,,Sanlúcar de Barrameda,,,,{},
79676,57816,2025-07-22,560000,5,No disponible,560,SNCB (Bélgica),,,,,,17,{},
79682,62732,2025-03-02,464000,8,No disponible,232,,,,Sagunto,,,,{},
79693,61866,2025-03-29,2916000,9,No disponible,2916,NS International,,,,,,9,{},
79695,63455,2025-03-04,1865000,5,No disponible,1865,EasyJet,,,,,,1,{},
79696,61193,2025-01-07,1940000,10,No disponible,1940,Buses Bio Bio,,,,,,37,{},
79697,61193,2025-01-17,350000,10,No disponible,700,,,Experimenta el lujo y la comodidad en este alojamiento,,,,,{},
79709,60479,2026-02-28,508000,4,No disponible,508,ŽFBH (Bosnia y Herzegovina),,,,,,45,{},
79712,60479,2025-03-24,1324000,4,No disponible,1324,MÁV (Hungría),,,,,,,{},
79722,64810,2025-03-05,1580000,4,No disponible,1580,British Airways,,,,,,31,{},
79723,64810,2025-02-06,42000,4,No disponible,56,,,Aventúrate en la naturaleza y descansa en un lugar cómodo,Santa Lucía de Tirajana,,,,{},
79726,64810,2025-08-06,948000,4,No disponible,948,EasyJet,,,,,,,{},
79727,64810,2025-05-31,992000,4,No disponible,992,KLM,,,,,,16,{},
79736,63154,2025-04-04,4585000,5,No disponible,655,,,,Sabadell,,,,{},
79744,63154,2025-12-04,30000,5,No disponible,25,,,Perfecto para familias y grupos grandes,Zamora,,,,{},
79748,63154,2025-05-11,420000,5,No disponible,420,Hays Travel,Aventura,Descubre la gastronomía local,Zamora,3,,,{},2026-03-02
79751,63154,2026-02-23,62000,5,No disponible,155,,,Aventúrate en la naturaleza y descansa en un lugar cómodo,Gecho,,,,{},
79757,61612,2026-02-09,900000,5,No disponible,900,Amtrak,,,,,,54,{},
79758,61612,2025-03-21,1900000,5,No disponible,1900,HŽ (Croacia),,,,,,93,{},
79763,58157,2025-10-19,816000,8,No disponible,816,ZSSK (Eslovaquia),,,,,,60,{},
79766,62948,2025-08-16,2187000,9,No disponible,2187,Eurostar,,,,,,10,,
79772,60329,2026-04-21,2104000,8,No disponible,2104,NSB (Noruega),,,,,,43,{},
79774,62259,2025-10-31,120000,2,No disponible,120,Buses Nilahue,,,,,,40,{},
79776,61258,2025-12-22,790000,5,No disponible,790,Damas,,,,,,36,,
79785,56759,2025-10-11,7938000,9,No disponible,1134,,,,Badajoz,,,,{},
79808,57352,2025-01-07,1116000,6,No disponible,1116,All Nippon Airways (ANA),,,,,,3,{},
79809,57352,2025-01-08,145000,6,No disponible,174,,,Perfecto para familias y grupos grandes,Murcia,,,,{},
79819,59878,2025-09-21,1630000,10,No disponible,1630,,,,,,,91,{},
79831,58201,2025-01-03,312000,4,No disponible,312,Flight Centre Travel Group,Paseo,Aventúrate en la montaña,Talavera de la Reina,5,,25,{},2025-04-13
79833,58201,2025-02-21,152000,4,No disponible,152,Trafalgar,Paseo,Relájate en la playa,Talavera de la Reina,7,,30,{},2025-04-15
79845,62657,2026-06-07,162000,1,No disponible,162,Copa Airlines,,,,,,19,{},
79852,62657,2026-07-11,13000,1,No disponible,13,Trafalgar,Excursión,Relájate en la playa,Barcelona,3,13000,28,{},
79856,66443,2025-02-03,30000,2,No disponible,30,,,,Ceuta,,,,{},
79857,66443,2025-03-29,104000,2,No disponible,104,Damas,,,,,,30,{},
79865,58711,2025-05-30,456000,7,No disponible,532,,,,Valencia,,,,{},
79877,66438,2025-01-08,2928000,6,No disponible,732,,,,Valencia,,,,{},
154292,,,,,Disponible,0,,,Aventúrate en la montaña,Albacete,4,6000,8,{},2025-08-24
79889,60836,2025-05-07,1020000,10,No disponible,1020,Crucero del Norte,,,,,,,{},
79890,63678,2025-03-17,1320000,5,No disponible,1320,Air Canada,,,,,,81,{},
79896,63678,2025-02-10,465000,5,No disponible,465,Gray Line,Tour,Aventúrate en la montaña,,3,93000,15,{},
79900,62668,2025-01-28,112000,1,No disponible,112,EME Bus,,,,,,30,{},
79913,55602,2025-03-27,1220000,10,No disponible,1220,LATAM Airlines,,,,,,33,{},
79916,59189,2025-02-16,371000,7,No disponible,371,ETN Turistar,,,,,,40,{},
79918,59189,2025-03-05,924000,7,No disponible,924,Via Bariloche,,,,,,34,{},
79920,60996,2025-02-25,498000,3,No disponible,498,JetBlue,,,,,,70,{},
79924,60996,2025-01-01,1047000,3,No disponible,1047,Alaska Airlines,,,,,,95,{},
79938,60649,2025-04-23,1220000,10,No disponible,1220,Flecha Bus,,,,,,32,{},
79939,60649,2025-03-09,8540000,10,No disponible,1220,,,,Avilés,,,,{},
79964,56105,2025-09-13,260000,2,No disponible,260,,,,,,,24,{},
79967,66094,2025-06-01,207000,3,No disponible,207,FlixBus,,,,,,43,{},
79968,66094,2026-06-24,1134000,3,No disponible,378,,,,,,,,{},
79973,65502,2025-05-09,1030000,10,No disponible,1030,Amtrak,,,,,,93,{},
79974,65502,2025-02-27,140000,10,No disponible,700,,,Disfruta de una estadía en el corazón de la ciudad,Benalmádena,,,,{},
79976,65502,2025-08-05,1640000,10,No disponible,1640,DSB (Dinamarca),,,,,,20,{},
79992,64600,2025-12-28,650000,5,No disponible,650,DSB (Dinamarca),,,,,,89,{},
80003,61185,2025-03-31,636000,6,No disponible,636,Greyhound,,,,,,,{},
80009,61185,2025-04-02,498000,6,No disponible,498,Luxury Escapes,Excursión,Descubre la gastronomía local,Gandía,7,83000,31,{},
80015,62747,2025-02-26,360000,3,No disponible,216,,,Perfecto para familias y grupos grandes,Estepona,,,,{},
80021,56402,2025-01-05,580000,4,No disponible,580,Socibus,,,,,,49,{},
80038,59200,2025-04-12,405000,5,No disponible,405,GetYourGuide,,,Barcelona,3,81000,46,{},2025-10-30
80049,59031,2025-01-02,140000,7,No disponible,980,,,Relájate en un lugar tranquilo y acogedor,Pontevedra,,,,{},
80052,63176,2025-05-13,822000,3,No disponible,822,Nederlandse Sp,,,,,,25,,
80054,63828,2025-03-03,1372000,7,No disponible,686,,,,Tarragona,,,,{},
80056,56366,2025-03-17,3101000,7,No disponible,3101,CP (Portugal),,,,,,96,{},
80060,56580,2025-01-17,1494000,9,No disponible,1494,Buses Romani,,,,,,39,{},
80069,60510,2025-03-01,113000,1,No disponible,113,Estrella Roja,,,,,,37,{},
80070,60510,2025-01-21,1022000,1,No disponible,146,,,Disfruta de una estadía en el corazón de la ciudad,Gandía,,,,{},
80073,60510,2025-04-26,47000,1,No disponible,47,Globus,Paseo,Conoce la historia de la ciudad,Gandía,,47000,23,{},2025-06-15
80085,58839,2025-05-23,101000,1,No disponible,101,Estrella Roja,,,,,,38,{},
80092,58839,2025-05-21,95000,1,No disponible,95,Secret Escapes,Tour,Descubre la gastronomía local,Orihuela,1,95000,16,{},
80094,58839,2025-04-28,440000,1,No disponible,110,,,,San Cristróbal de la Laguna,,,,{},
80095,58839,2025-01-08,77000,1,No disponible,77,Contiki,,Disfruta de un día en la naturaleza,San Cristróbal de la Laguna,4,77000,1,{},2025-08-26
80101,58371,2025-06-19,2597000,7,No disponible,2597,MÁV (Hungría),,,,,,74,{},
80103,59417,2025-11-04,63000,4,No disponible,36,,,Perfecto para familias y grupos grandes,,,,,{},
80110,59417,2025-11-19,340000,4,No disponible,340,Frontier Airlines,,,,,,64,{},
80111,59417,2026-03-12,1364000,4,No disponible,1364,Ryanair,,,,,,20,{},
80121,65685,2025-10-21,1610000,7,No disponible,1610,ŽFBH (Bosnia y Herzegovina),,,,,,46,{},
80122,65685,2025-01-31,994000,7,No disponible,497,,,,Zamora,,,,{},
80129,59759,2025-01-01,574000,2,No disponible,574,NS International,,,,,,60,{},
80138,59052,2025-07-13,3340000,10,No disponible,3340,United Airlines,,,,,,91,{},
80139,59052,2025-01-10,44000,10,No disponible,220,,,Aventúrate en la naturaleza y descansa en un lugar cómodo,El Prat de LLobregat,,,,{},
80158,65955,2025-02-20,224000,7,No disponible,224,Expedia Group,,Relájate en la playa,Alcoy,4,32000,49,{},2025-07-10
80161,64374,2025-11-14,1134000,9,No disponible,1134,AVE,,,,,,23,{},
80170,59415,2025-06-25,4725000,5,No disponible,675,,,,Madrid,,,,{},
80178,59415,2025-08-22,805000,5,No disponible,805,EME Bus,,,,,,,{},
80183,60584,2025-02-25,350000,1,No disponible,70,,,Experimenta el lujo y la comodidad en este alojamiento,Benalmádena,,,,{},
80185,60584,2025-05-15,13000,1,No disponible,13,Flight Centre Travel Group,,,Benalmádena,4,13000,18,,2025-06-10
80188,60584,2025-03-10,95000,1,No disponible,95,American Airlines,,,,,,27,{},
80190,60584,2025-04-23,294000,1,No disponible,147,,,,Lorca,,,,{},
80202,58664,2025-02-19,40000,8,No disponible,64,,,Aventúrate en la naturaleza y descansa en un lugar cómodo,Sagunto,,,,{},
80208,63810,2025-07-13,190000,9,No disponible,342,,,Ideal para una escapada romántica,Talavera de la Reina,,,,{},
80223,61193,2025-06-24,17000,3,No disponible,51,,,Aventúrate en la naturaleza y descansa en un lugar cómodo,Torrelavega,,,,{},
80224,56434,2026-07-20,726000,3,No disponible,726,Nederlandse Sp,,,,,,95,{},
80227,59772,2026-05-14,679000,7,No disponible,679,Via Bariloche,,,,,,39,{},
80236,62247,2026-01-30,260000,4,No disponible,260,,,Relájate en un lugar tranquilo y acogedor,Pontevedra,,,,,
80242,62247,2025-02-07,328000,4,No disponible,328,Hays Travel,Aventura,Conoce la historia de la ciudad,Zaragoza,,82000,14,{},2026-03-07
80249,62247,2025-11-07,72000,4,No disponible,24,,,,Alcobendas,,,,{},
80258,58878,2025-07-19,1710000,9,No disponible,1710,ADO,,,,,,47,{},
80279,66323,2026-01-27,352000,2,No disponible,352,SNCB (Bélgica),,,,,,22,{},
80305,55907,2025-10-07,100000,1,No disponible,100,Thalys,,,,,,48,,
80313,59343,2026-08-24,210000,2,No disponible,210,SJ (Suecia),,,,,,,{},
80319,65308,2025-09-01,198000,2,No disponible,66,,,Ubicación céntrica con fácil acceso a atracciones turísticas,Ponferrada,,,,{},
80329,61171,2025-04-05,17000,1,No disponible,17,ZSSK (Eslovaquia),,,,,,70,{},
80338,61171,2025-04-30,67000,1,No disponible,67,ZFBH (Bosnia y Herzegovina),,,,,,2,{},
80358,60341,2025-01-06,950000,5,No disponible,950,Socibus,,,,,,38,{},
80364,60341,2025-01-22,295000,5,No disponible,295,JetSur,,,,,,32,{},
80369,61852,2025-01-17,820000,5,No disponible,820,El Rápido Internacional,,,,,,33,{},
80376,58400,2025-04-21,224000,2,No disponible,224,RZD (Rusia),,,,,,76,{},
80378,60152,2025-01-12,1449000,9,No disponible,1449,HŽ (Croacia),,,,,,29,{},
80384,60152,2025-04-24,621000,9,No disponible,621,Amtrak,,,,,,22,{},
