id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked
78595,61153,2025-01-19,648000,3,No disponible,648
78596,61153,2025-05-07,657000,3,No disponible,657
78598,66568,2025-02-26,520000,2,No disponible,-104
78600,66568,2025-01-26,88000,,No disponible,88
78601,66568,2025-02-17,98000,2,No disponible,-98
78602,66568,2025-02-20,,2,No disponible,48
78603,58541,2025-11-21,-588000,6,No disponible,588
78608,58541,2025-07-11,498000,6,,498
78609,58541,2025-09-23,1614000,,No disponible,1614
78612,58541,,570000,6,No disponible,570
,58286,2025-10-21,290000,5,No disponible,290
78616,58286,2025-03-21,,5,No disponible,495
78620,58286,2025-08-27,-90000,5,No disponible,90
78624,61637,2025-06-25,,4,No disponible,788
78625,61637,2025-02-26,1456000,4,No disponible,-1456
78628,61637,2025-04-01,,4,No disponible,164
78629,61637,,-260000,4,No disponible,260
,61637,2026-01-16,256000,,No disponible,256
78633,61637,2025-02-20,508000,,No disponible,508
78634,61637,2025-06-01,291000,,No disponible,388
78637,64235,2025-02-19,453000,3,No disponible,
78640,64235,2025-01-13,156000,3,,-156
78642,64235,2025-02-11,-246000,3,No disponible,246
78644,64235,,153000,3,No disponible,153
,,,,,,
78646,57135,,1040000,5,No disponible,1040
78647,57135,2026-04-11,-710000,5,No disponible,710
78688,65501,2025-01-20,,5,No disponible,120
,,,,,,
,,,,,,
78649,63964,2025-02-18,475000,7,No disponible,
78650,63964,2025-09-02,91000,7,,91
78651,63964,2025-01-05,357000,7,,357
78655,63964,2025-12-28,,7,No disponible,735
78657,63964,2025-06-05,567000,7,No disponible,
78661,,2025-09-18,-532000,7,No disponible,532
,57306,,308000,3,No disponible,231
78668,57306,,369000,3,No disponible,369
78669,,2025-02-07,340000,4,No disponible,340
,61565,2025-01-09,558000,4,No disponible,372
,61565,2025-03-04,160000,4,No disponible,160
78672,61565,2025-01-21,232000,4,No disponible,232
78673,61565,2025-03-12,400000,4,No disponible,400
78674,61565,2025-01-02,32000,4,No disponible,32
78675,61565,2025-02-09,236000,4,No disponible,236
78676,61565,2025-02-12,252000,4,No disponible,252
78677,61565,2025-03-21,756000,4,No disponible,-252
78678,61565,2025-01-15,228000,4,No disponible,228
,61565,,88000,4,No disponible,88
78680,65501,2025-03-15,280000,5,No disponible,280
78681,65501,2025-04-06,-264000,5,No disponible,440
78682,65501,2025-01-22,315000,5,,315
78683,65501,2025-08-10,400000,5,No disponible,400
78684,65501,2025-04-04,345000,5,No disponible,345
78685,65501,2025-04-07,-2050000,5,No disponible,410
78686,65501,2025-06-22,460000,5,No disponible,460
78687,65501,2025-06-12,90000,,No disponible,
,65501,2025-02-14,120000,5,No disponible,120
78690,57499,2026-01-16,,1,No disponible,118
78691,57499,2025-01-12,484000,1,No disponible,121
78692,57499,2026-07-16,95000,1,No disponible,95
78693,57499,2025-10-24,27000,1,No disponible,27
,57499,2025-05-09,23000,1,No disponible,23
78695,57499,2026-05-02,65000,1,No disponible,65
78696,57499,2025-09-26,1036000,1,No disponible,148
78697,57499,2026-03-12,,1,,38
78698,57499,2025-11-12,25000,1,No disponible,25
78699,57499,2025-01-18,24000,1,No disponible,24
78700,57499,2025-02-23,100000,1,No disponible,-100
78701,57499,2025-03-23,85000,1,No disponible,85
78702,57499,2026-06-15,66000,1,No disponible,
78703,57499,2025-02-11,,1,No disponible,238
78732,60783,2025-05-12,45000,,No disponible,45
78707,59495,2026-02-02,635000,5,,635
78710,,2025-01-10,395000,5,No disponible,395
78713,59495,2026-03-28,21000,5,No disponible,
78714,59495,2025-04-13,95000,5,No disponible,
78715,59495,2025-08-04,460000,,No disponible,460
78716,,2025-02-24,334000,2,No disponible,334
78717,61890,2025-12-09,2160000,5,No disponible,2160
78718,61890,2025-07-30,605000,5,No disponible,605
78719,61890,2026-01-02,5180000,5,No disponible,740
78720,61890,2025-09-18,315000,5,No disponible,315
78721,61890,2026-05-01,455000,5,,455
78722,61890,2026-07-30,195000,5,No disponible,-195
78723,61890,2025-06-10,145000,5,No disponible,145
78724,61890,2026-09-07,495000,5,,495
,,,,,,
,,,,,,
,61890,2026-07-18,185000,5,No disponible,185
78726,60783,,,1,No disponible,31
78736,65694,,226000,2,No disponible,226
78738,65694,2025-02-07,164000,2,No disponible,
,65694,2025-12-18,120000,2,No disponible,120
,,2025-02-08,85000,2,No disponible,34
78745,65694,2025-07-15,36000,2,No disponible,-36
78748,65694,2025-12-25,768000,2,,768
78749,65694,2025-05-27,1015000,,No disponible,290
,65694,2025-03-04,126000,2,No disponible,126
78752,65694,2025-04-10,18000,,,18
78756,61169,2025-09-17,158000,2,,158
78760,61264,2025-03-16,89000,6,No disponible,
78761,,2026-01-04,396000,3,No disponible,
78762,64251,2025-05-12,108000,3,No disponible,54
78763,64251,2025-09-26,153000,3,No disponible,153
78764,64251,2026-04-22,258000,3,No disponible,258
78765,64251,,126000,3,No disponible,126
78766,64251,2025-07-09,234000,3,No disponible,234
,,,,,,
,,,,,,
78768,64251,2025-12-29,348000,3,No disponible,348
78769,64251,2026-08-14,,3,No disponible,354
78770,64251,2026-04-18,174000,3,No disponible,174
78771,64251,2025-08-28,153000,3,No disponible,
78772,64251,2025-06-29,390000,3,No disponible,390
78774,64517,2025-03-25,1224000,,No disponible,1224
,64517,2025-05-14,,6,No disponible,306
78778,64517,2026-01-10,1104000,6,No disponible,-1104
78779,64517,2025-01-07,287000,6,,246
78781,64517,2025-06-28,570000,6,,570
78782,64517,2025-12-17,,6,No disponible,444
78787,,2025-04-27,584000,8,No disponible,584
78789,63963,2026-05-14,184000,,No disponible,184
78791,63963,2025-04-29,,8,No disponible,456
78793,63963,2026-05-06,144000,8,No disponible,-144
78794,63963,2025-06-15,-1480000,8,No disponible,1480
78795,63963,,,8,No disponible,
,66032,2025-05-22,186000,6,No disponible,186
78800,66032,,594000,6,No disponible,594
78804,66032,2025-12-05,-216000,6,No disponible,216
,,,,,,
,,,,,,
,,,,,,
78808,,,-144000,6,No disponible,144
78809,64406,2025-01-06,1584000,9,No disponible,
78810,64406,2025-01-01,945000,9,,945
78813,64406,2025-01-09,-630000,9,No disponible,630
78822,,2025-08-29,248000,2,No disponible,248
78823,65524,2025-02-23,1520000,10,No disponible,-1520
78824,65524,2026-09-06,1310000,10,No disponible,
78825,65524,2025-04-06,324000,10,No disponible,1080
78826,65524,2026-07-28,600000,10,No disponible,600
78827,65524,2025-03-29,750000,10,No disponible,750
78831,62863,2025-01-07,,10,No disponible,1680
78832,,2025-10-16,162000,10,No disponible,810
78834,55765,2025-04-04,1730000,10,No disponible,1730
78835,55765,2025-03-08,780000,10,No disponible,780
78836,55765,2025-04-14,500000,10,No disponible,500
78838,55892,2025-04-05,1458000,9,,1458
78840,60607,,1251000,9,No disponible,1251
,,,,,,
78848,60607,2025-03-02,-783000,9,No disponible,783
,60063,2025-03-22,155000,1,No disponible,155
78852,60171,2025-03-17,670000,,No disponible,670
78856,60171,2025-12-01,60000,,No disponible,60
78858,62775,2025-04-04,69000,1,No disponible,69
78859,62775,2025-11-24,182000,1,No disponible,182
78860,62038,2025-02-28,,5,,310
78867,62038,2025-07-14,500000,,,500
,62250,2025-04-24,124000,7,No disponible,434
78870,62250,2025-02-10,399000,7,,399
78871,62250,2025-11-25,1470000,7,No disponible,
,,2025-02-12,1494000,9,No disponible,-1494
78874,63596,,-86000,,No disponible,774
78875,62032,2025-05-15,-552000,8,No disponible,552
78876,56813,2025-04-25,195000,3,,195
78877,,2025-02-01,213000,3,No disponible,213
78879,64201,,213000,3,No disponible,213
78881,64201,,486000,3,No disponible,486
78882,58412,2025-01-13,-2544000,8,No disponible,2544
78883,58412,2025-05-24,195000,8,No disponible,312
78885,58412,2025-02-08,,8,No disponible,632
78886,58412,2025-06-18,744000,8,No disponible,744
78887,58412,2025-07-12,528000,8,No disponible,528
78888,58412,2025-05-13,1040000,8,No disponible,1040
78892,62701,,207000,3,No disponible,207
78893,62701,2025-03-24,462000,,No disponible,462
,57419,2025-07-18,1687000,7,No disponible,1687
78895,57419,2025-06-11,300000,7,No disponible,-1050
78899,57419,2025-08-07,35000,7,No disponible,
78900,61699,2025-02-17,960000,,No disponible,960
78901,,2025-08-13,1504000,8,No disponible,1504
78902,61699,2025-06-19,210000,,No disponible,336
,61699,2025-04-05,640000,8,No disponible,640
,57811,2025-09-11,126000,2,No disponible,-126
78914,,2026-04-19,540000,3,No disponible,270
78915,61239,2025-01-08,153000,3,No disponible,-153
,,,,,,
78917,61239,2025-05-10,,3,,225
,,2026-06-05,150000,3,No disponible,150
78919,61239,2025-03-18,204000,3,No disponible,
78920,61911,2025-06-21,3072000,8,No disponible,
78921,,2025-09-06,4544000,8,No disponible,1136
78922,61911,2025-03-09,520000,8,,520
78924,61911,2026-06-28,-112000,8,,112
78926,,2025-09-28,462000,6,No disponible,462
78929,59818,2026-01-12,,6,No disponible,510
78930,,2025-12-21,540000,6,No disponible,540
78932,59818,,3654000,6,No disponible,522
78933,,,420000,6,No disponible,420
78934,,,,6,,462
78936,59818,2025-12-08,,,No disponible,36
78939,,2025-12-23,1227000,3,No disponible,1227
78943,62717,2025-01-06,832000,8,No disponible,832
78944,62717,2025-01-01,,8,,848
78945,62717,2025-03-23,424000,8,No disponible,424
78946,62717,2025-03-02,776000,8,No disponible,776
78947,62717,2025-02-18,800000,8,No disponible,800
,,2025-03-18,224000,8,No disponible,224
78949,62717,2025-02-26,256000,8,No disponible,256
78950,,2025-01-27,896000,8,No disponible,-896
78951,62717,2025-01-07,560000,8,No disponible,896
78952,62717,2025-04-14,424000,,No disponible,424
78953,62717,2025-02-16,264000,8,No disponible,264
78954,,2025-01-19,512000,8,No disponible,512
,,,,,,
,,,,,,
78955,62717,2025-03-10,584000,8,No disponible,584
78956,62717,2025-04-03,1088000,,No disponible,1088
,62717,2025-03-19,532000,8,No disponible,608
78958,62717,2025-03-06,792000,8,No disponible,792
78959,62717,2025-04-18,392000,8,No disponible,392
78960,62717,2025-03-30,400000,8,No disponible,400
78961,62717,2025-03-31,440000,8,No disponible,440
78962,62717,2025-03-27,40000,8,No disponible,40
78963,62717,2025-03-25,632000,8,No disponible,632
78964,65699,2026-01-02,1240000,10,No disponible,1240
78965,65699,2026-01-09,1170000,10,No disponible,1170
78966,65699,2025-12-17,30000,10,No disponible,50
78967,65699,2025-11-24,300000,10,No disponible,300
78968,65699,2025-12-11,,,,130
78969,65699,2025-03-20,820000,10,,820
78970,65699,2025-10-25,580000,10,No disponible,580
78971,65699,2025-07-11,170000,10,No disponible,170
78972,57095,2025-07-13,-332000,,No disponible,332
78973,57095,2025-08-22,1220000,,No disponible,1220
78974,60662,2025-05-02,198000,3,,
78975,60662,2025-09-02,1041000,3,No disponible,1041
78976,60662,2026-02-07,636000,3,No disponible,636
78977,60662,2025-01-30,385000,3,No disponible,231
78978,60662,2025-09-24,252000,3,No disponible,252
78979,60662,2026-03-22,183000,3,No disponible,183
78980,60662,2026-03-27,123000,,No disponible,123
78981,60662,2025-08-31,,3,No disponible,201
78986,59953,2025-01-10,126000,3,,126
78988,59953,2025-03-03,,3,No disponible,219
78990,59953,2025-02-12,-846000,3,,141
78991,59953,2025-03-18,,,No disponible,276
78992,59953,2025-03-22,129000,,No disponible,129
78997,59507,2025-02-11,64000,8,No disponible,
78998,56112,2025-10-16,-696000,8,No disponible,696
79000,63051,2025-09-05,118000,2,No disponible,
,66365,2025-03-13,364000,7,No disponible,364
79005,,2025-01-01,426000,7,No disponible,497
,60046,2025-01-03,679000,7,No disponible,679
79009,,2025-01-02,,,No disponible,224
79016,,2025-01-05,672000,7,No disponible,672
79017,60046,,-861000,7,No disponible,861
79020,60046,2025-01-03,252000,7,No disponible,
79022,60046,2025-01-11,539000,7,No disponible,
79023,60365,2025-03-20,2240000,,No disponible,2240
79024,60365,,308000,8,No disponible,352
79025,60365,2025-01-18,,8,No disponible,88
79026,,2025-03-23,368000,8,No disponible,368
79027,60365,2025-04-06,144000,8,No disponible,144
79029,60365,2025-02-09,40000,8,No disponible,40
79030,60365,2025-03-12,272000,8,No disponible,272
79031,60365,2025-02-19,1440000,8,No disponible,1440
79032,60365,2025-03-04,1760000,8,No disponible,440
79033,60365,2025-01-20,200000,8,No disponible,200
,,,,,,
,,,,,,
,,,,,,
79034,60365,2025-01-20,184000,,No disponible,184
79035,60365,2025-03-17,184000,8,No disponible,184
79036,66237,2025-02-08,309000,3,No disponible,309
79061,59724,2025-02-03,112000,1,No disponible,112
79037,66237,2025-08-05,141000,3,No disponible,423
79039,,2025-01-30,2100000,3,No disponible,
79042,57046,2025-03-09,93000,3,No disponible,
79043,,2025-03-11,189000,3,No disponible,189
79046,65530,2025-11-08,528000,3,No disponible,528
79047,65530,2025-08-19,258000,3,No disponible,258
79048,65530,2025-01-26,2175000,3,,435
79049,65530,2025-11-05,228000,3,No disponible,228
79050,65530,2025-09-30,57000,3,No disponible,57
79051,65530,2025-06-29,-27000,3,No disponible,27
79052,65530,2025-04-01,291000,3,No disponible,291
79058,63474,2026-04-19,528000,6,No disponible,
79060,,2025-06-30,396000,6,No disponible,396
79062,59724,2025-12-02,104000,1,No disponible,104
79063,59724,,-68000,1,,17
79064,59724,2026-01-01,17000,1,No disponible,17
79065,59724,2026-01-17,77000,1,No disponible,77
79066,59724,2025-12-19,-98000,1,No disponible,98
79069,64296,2025-04-23,,,No disponible,384
,,,,,,
79070,64296,2025-03-16,-3360000,8,No disponible,3360
79074,62318,2025-03-11,-189000,9,No disponible,189
,62318,2025-03-01,1629000,9,No disponible,1629
79079,65152,2025-03-30,96000,6,No disponible,-96
79081,56732,2025-08-05,254000,,No disponible,254
79083,56732,,71000,1,No disponible,71
79088,,2025-10-17,48000,1,No disponible,8
79089,56732,2025-01-03,,1,No disponible,80
79091,56732,2026-02-02,-54000,1,No disponible,54
79092,56732,2025-12-14,57000,1,No disponible,
79094,56732,2026-05-09,147000,1,No disponible,-147
79096,60574,,52000,,,52
79099,60574,2025-01-16,282000,1,No disponible,
79100,60574,2025-01-08,98000,,No disponible,98
79102,57829,2025-08-25,552000,9,,1242
79103,57829,2025-03-14,468000,9,,468
79104,57829,2025-05-01,-756000,9,No disponible,756
79105,57829,2025-05-09,342000,9,No disponible,
,,,,,,
,,,,,,
79107,57829,2025-08-11,87000,9,No disponible,
,57829,2026-01-31,612000,9,No disponible,612
79110,57829,2025-08-27,-2178000,9,No disponible,2178
79111,57829,2025-02-16,148000,9,No disponible,
79115,60339,2025-01-06,98000,2,No disponible,98
79116,60339,2025-06-28,116000,2,No disponible,116
79120,59943,2025-05-25,864000,9,,864
,59943,2025-04-01,675000,9,No disponible,675
,59943,2025-03-04,,9,No disponible,234
79131,56872,2025-06-30,-1580000,,No disponible,1580
,56872,2025-06-27,-50000,,No disponible,50
79162,64137,2025-01-11,73000,1,No disponible,
79138,64987,2025-02-11,570000,8,No disponible,-760
79143,64987,2025-08-01,496000,8,No disponible,
132375,62141,2026-04-26,261000,,No disponible,261
79144,64987,,3400000,8,No disponible,3400
79145,60905,2025-02-22,1810000,10,,1810
79146,60905,2025-04-17,645000,10,No disponible,1290
79147,60905,,400000,10,No disponible,400
79148,60905,,560000,10,No disponible,560
79149,60905,2025-01-15,810000,10,No disponible,810
79150,60905,2025-05-26,510000,10,No disponible,510
79151,60905,2025-01-24,620000,10,No disponible,620
79152,60905,2025-06-06,970000,10,No disponible,970
79153,57469,2025-03-17,324000,1,No disponible,
,57469,2025-04-08,52000,1,No disponible,
79155,57469,2025-04-07,-495000,,No disponible,99
79157,57469,2025-02-18,-8000,1,No disponible,8
79158,57469,,6000,1,No disponible,6
79159,57469,2025-03-08,15000,1,No disponible,-15
79160,64137,2025-01-05,39000,1,No disponible,39
79161,64137,2025-01-08,580000,1,No disponible,116
79163,64137,2025-01-08,41000,1,No disponible,41
79164,64137,2025-01-09,12000,1,No disponible,12
79165,64137,2025-01-10,27000,1,No disponible,27
79166,64137,2025-01-03,147000,1,No disponible,147
79167,64137,2025-01-13,666000,1,No disponible,111
,64137,2025-01-05,57000,1,No disponible,57
79169,64137,2025-01-07,26000,1,No disponible,26
79170,64137,2025-01-12,32000,1,No disponible,32
79171,64137,2025-01-12,19000,1,No disponible,19
79172,64137,2025-01-18,59000,1,No disponible,59
,57244,2025-04-14,710000,,,710
79175,61071,2025-01-31,35000,7,No disponible,-35
79176,61071,,693000,7,No disponible,693
79178,61071,2025-02-10,,7,No disponible,
79179,63024,2025-12-07,296000,4,No disponible,296
79180,63024,2025-04-13,75000,4,No disponible,
,,,,,,
,65182,2025-01-09,1248000,4,No disponible,208
79185,,2025-01-20,264000,4,No disponible,264
79186,65182,2025-01-23,,4,No disponible,20
79188,64209,2025-10-16,1800000,10,No disponible,1800
79189,64209,2025-05-24,1880000,10,No disponible,
79190,64209,2026-04-07,4000000,10,No disponible,4000
79192,59443,2025-11-10,-320000,2,No disponible,320
79194,59443,2025-10-05,,2,No disponible,114
,59443,2025-12-18,62000,,No disponible,-62
79198,59443,2025-02-17,130000,,No disponible,-130
79199,64010,,385000,7,No disponible,385
79200,64010,2026-02-07,1141000,,No disponible,1141
79201,64010,2025-01-20,609000,7,No disponible,609
79202,,2025-12-02,679000,7,No disponible,679
79209,60119,2026-01-12,217000,,No disponible,217
79212,64236,2025-04-23,903000,7,No disponible,903
79213,64236,2025-05-04,854000,7,No disponible,854
79214,64236,,5145000,7,No disponible,1029
79215,64236,2025-04-02,119000,7,No disponible,119
79216,64236,2025-05-17,567000,7,No disponible,567
79217,64236,2025-05-16,119000,7,No disponible,119
79218,,2025-05-24,427000,7,No disponible,427
79368,62401,2025-01-20,-178000,2,No disponible,178
,,,,,,
79219,64236,2025-03-25,1043000,7,No disponible,1043
79220,,2025-02-10,-196000,7,No disponible,49
79221,64236,2025-04-16,644000,7,No disponible,644
79222,,2025-02-21,,7,No disponible,518
79223,64236,2025-04-02,,7,No disponible,
79226,55943,2025-12-01,80000,5,No disponible,-80
79227,55943,2025-12-29,,5,No disponible,345
79228,55943,2026-02-10,385000,5,,385
79232,55943,2026-02-05,645000,,,645
79233,55943,2025-05-06,,5,No disponible,445
79235,55943,2025-08-08,135000,5,No disponible,-135
79236,55943,2025-12-27,-85000,5,No disponible,85
,56005,2025-09-13,588000,6,No disponible,588
79239,56005,,228000,6,No disponible,228
79245,,2026-02-10,-370000,5,No disponible,370
79251,58270,2025-10-18,,5,,350
79254,63929,2025-06-23,69000,3,,69
,56485,2026-03-19,-1330000,7,No disponible,1330
79260,56485,2025-10-24,-474000,7,No disponible,553
79267,65399,2025-01-08,,9,No disponible,-918
79268,65399,2025-02-18,450000,9,No disponible,
79269,60294,2025-09-21,186000,2,No disponible,186
79270,60294,2025-02-27,124000,2,No disponible,124
79271,60294,2025-10-25,326000,2,No disponible,326
79272,60294,2026-06-08,312000,2,No disponible,78
79273,60294,2025-01-30,178000,2,No disponible,178
,60294,2026-05-08,22000,2,No disponible,22
79275,60294,,,2,No disponible,
79278,61250,2025-12-08,360000,5,No disponible,-120
79285,61250,,1190000,5,No disponible,1190
79286,55852,2025-01-19,-1020000,4,No disponible,1020
79289,55852,2025-01-03,-1032000,4,No disponible,1032
79291,,,164000,4,No disponible,164
79294,,,404000,4,No disponible,404
,,,,,,
79297,,2025-05-23,270000,5,No disponible,270
79298,66274,,342000,3,No disponible,342
79302,66471,,369000,9,No disponible,369
79307,56827,2026-01-08,1440000,,No disponible,
,56827,2026-03-12,600000,8,,600
79311,65981,2025-11-25,610000,10,No disponible,610
79312,62618,2026-01-22,1218000,6,No disponible,
79313,62618,2025-07-04,54000,6,No disponible,162
79314,62618,2026-04-06,594000,6,No disponible,594
,62618,2025-04-15,1746000,,No disponible,1746
79317,57190,2025-08-11,890000,,No disponible,890
79325,65551,2025-02-20,,1,No disponible,295
154178,,,,,Disponible,
79331,60506,2025-05-02,-400000,2,No disponible,
79332,60506,2025-03-17,342000,2,No disponible,-342
79333,60506,2025-09-29,340000,2,No disponible,340
79334,60506,2025-01-26,128000,2,No disponible,64
79335,60506,2025-01-29,30000,2,No disponible,30
79336,58351,2025-09-10,-945000,7,No disponible,945
79338,56338,2025-01-01,2673000,9,,2673
79341,56338,,180000,9,No disponible,180
,64429,2025-12-17,640000,8,No disponible,640
,64429,2026-07-19,648000,8,No disponible,648
79351,64429,2025-11-20,,8,No disponible,760
79352,64429,2025-12-02,,8,No disponible,752
79356,61177,,-134000,2,No disponible,134
79361,61177,2025-12-12,194000,,No disponible,194
79362,61177,2025-11-02,24000,2,No disponible,
79363,62401,,44000,2,No disponible,44
79364,62401,2025-02-03,,2,No disponible,242
79367,62401,2026-08-23,82000,2,,82
,,,,,,
,62401,,26000,2,No disponible,26
,62695,2025-07-25,396000,3,No disponible,198
,62695,2025-06-14,114000,3,No disponible,114
79373,62695,2025-09-21,147000,3,No disponible,
79377,62695,,264000,3,No disponible,264
,62695,,240000,3,No disponible,240
,62695,2025-01-29,33000,3,No disponible,33
79383,62695,2025-06-21,120000,3,,120
79385,62695,2025-08-05,66000,,No disponible,66
79386,57677,2025-08-13,1253000,,No disponible,1253
79390,57677,2025-08-25,,7,No disponible,532
79391,60235,2025-04-16,927000,9,No disponible,927
79392,60235,2025-09-23,522000,9,No disponible,
79393,60235,2025-06-29,54000,9,No disponible,54
79394,60235,2025-09-22,324000,,No disponible,324
79395,60235,2025-06-27,585000,9,No disponible,585
79396,60235,2025-12-02,261000,9,No disponible,261
79397,,2025-06-30,729000,9,No disponible,729
79398,60235,2025-01-10,1089000,9,No disponible,1089
79399,60235,2025-09-08,-891000,9,No disponible,891
79400,60235,2025-09-05,42000,9,No disponible,-378
79402,59790,2025-03-26,520000,4,No disponible,-520
79404,56823,2025-06-22,2871000,9,No disponible,2871
79405,,2025-11-13,356000,2,No disponible,356
79443,59745,2025-04-27,202000,2,No disponible,202
,,,,,,
79406,60295,2026-03-17,292000,2,No disponible,146
79407,60295,2026-03-12,58000,2,No disponible,58
79408,60295,2025-06-25,140000,2,No disponible,140
79409,60295,2025-07-29,104000,2,No disponible,52
79410,60295,2025-02-27,88000,2,No disponible,88
79411,60295,2025-02-05,64000,,,64
79412,60295,2026-01-11,62000,2,No disponible,62
79413,63031,2025-01-26,868000,7,No disponible,868
,63031,2025-01-30,1736000,7,No disponible,434
79415,,2025-03-07,154000,7,No disponible,154
79416,63031,2025-02-11,301000,7,No disponible,301
79417,63031,2025-02-11,532000,7,No disponible,532
79418,63031,2025-02-08,1813000,7,No disponible,1813
79816,57352,2025-01-03,186000,,,186
79420,65359,2025-03-06,490000,,No disponible,
79421,65359,2025-02-07,160000,8,No disponible,
79424,,2025-05-12,-64000,8,No disponible,64
79425,,2025-01-21,-456000,8,No disponible,456
79426,65359,2025-02-07,256000,8,No disponible,
79427,63981,2025-09-22,192000,,No disponible,192
,63981,2025-07-01,-64000,4,No disponible,64
79435,59106,2025-04-02,1832000,8,,1832
79439,64738,2025-06-05,70000,,No disponible,70
79441,57064,2025-05-20,372000,2,No disponible,372
