name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,state
"-33.3537,-70.6811",2022-06-02,12.0,4.9,8.3,12.0,3.9,7.8,5.3,82.0,4.9,100.0,45.83,rain,0.0,0.0,27.0,9.4,330.5,1019.2,79.8,7.7,116.3,10.0,5.0,10.0,2022-06-02T07:38:43,2022-06-02T17:42:42,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-06-03,13.0,7.0,9.2,13.0,5.4,8.5,6.4,84.0,10.6,100.0,75.0,rain,0.0,0.0,24.8,27.7,30.1,1016.0,98.9,6.6,19.3,1.7,1.0,10.0,2022-06-03T07:39:17,2022-06-03T17:42:29,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-06-04,15.0,8.0,11.4,15.0,6.0,11.0,7.8,79.5,6.6,100.0,70.83,rain,0.0,0.0,28.8,18.4,179.3,1014.3,96.0,9.5,65.2,5.5,3.0,10.0,2022-06-04T07:39:49,2022-06-04T17:42:18,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,remote,85574099999",Rainy
"-33.3537,-70.6811",2022-06-05,18.0,8.2,12.5,18.0,8.2,12.3,6.7,70.9,3.8,100.0,50.0,rain,0.0,0.0,23.0,20.5,161.5,1019.5,60.9,9.8,103.6,9.0,4.0,10.0,2022-06-05T07:40:21,2022-06-05T17:42:08,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-06-06,19.0,2.6,10.0,19.0,0.7,9.7,4.8,73.6,0.0,0.0,0.0,,0.0,0.0,18.0,11.2,169.4,1020.3,1.0,8.2,141.5,12.3,6.0,10.0,2022-06-06T07:40:52,2022-06-06T17:41:59,0.24,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-06-07,18.0,4.0,9.9,18.0,3.9,9.8,5.9,79.0,0.0,0.0,0.0,,0.0,0.0,17.3,18.4,160.4,1016.9,6.8,7.1,139.7,12.1,6.0,10.0,2022-06-07T07:41:21,2022-06-07T17:41:52,0.25,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-06-08,16.7,2.0,8.8,16.7,1.2,8.6,5.5,81.8,0.0,0.0,0.0,,0.0,0.0,20.5,14.8,165.8,1020.7,10.6,5.3,132.2,11.3,6.0,10.0,2022-06-08T07:41:50,2022-06-08T17:41:47,0.31,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-06-09,15.0,5.0,8.2,15.0,3.3,7.8,6.5,90.6,0.0,0.0,0.0,,0.0,0.0,18.4,7.6,338.6,1023.1,61.2,2.2,142.8,12.3,6.0,10.0,2022-06-09T07:42:18,2022-06-09T17:41:43,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-06-10,23.0,2.0,10.8,23.0,0.5,10.7,2.2,63.1,0.0,0.0,0.0,,0.0,0.0,18.0,7.6,77.0,1017.9,18.4,6.9,138.1,12.0,6.0,10.0,2022-06-10T07:42:45,2022-06-10T17:41:41,0.37,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,remote,85574099999",Sunny
"-33.3537,-70.6811",2022-06-11,23.0,2.2,10.3,23.0,1.7,10.0,2.0,61.9,0.0,0.0,0.0,,0.0,0.0,19.1,22.3,145.4,1017.6,2.5,7.1,144.6,12.5,6.0,10.0,2022-06-11T07:43:11,2022-06-11T17:41:40,0.41,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Windy
"-33.3537,-70.6811",2022-06-12,19.0,1.0,7.6,19.0,-2.8,6.8,4.1,83.5,0.0,0.0,0.0,,0.0,0.0,16.9,18.4,167.1,1017.6,52.5,2.4,144.9,12.3,6.0,10.0,2022-06-12T07:43:36,2022-06-12T17:41:40,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-06-13,12.7,3.0,6.7,12.7,3.0,6.1,4.7,88.6,0.0,0.0,0.0,,0.0,0.0,18.0,24.1,161.9,1015.7,63.5,2.6,123.3,10.7,5.0,10.0,2022-06-13T07:43:59,2022-06-13T17:41:42,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-06-14,10.4,5.0,7.1,10.4,3.0,6.3,4.3,83.1,4.8,100.0,62.5,rain,0.0,0.0,22.7,14.8,314.6,1019.5,72.6,4.9,127.2,11.1,5.0,10.0,2022-06-14T07:44:22,2022-06-14T17:41:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-06-15,14.0,-1.0,6.5,14.0,-1.0,6.1,2.8,79.3,1.4,100.0,50.0,"rain,snow",0.0,0.0,22.7,13.0,173.2,1019.6,13.6,5.3,138.0,11.8,6.0,10.0,2022-06-15T07:44:43,2022-06-15T17:41:50,0.54,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"SCEL,85577099999,85574099999",Snowy
"-33.3537,-70.6811",2022-06-16,14.0,6.7,9.4,14.0,6.7,9.1,5.5,78.0,5.0,100.0,66.67,rain,0.0,0.0,23.8,14.8,194.1,1023.3,62.9,7.7,121.3,10.5,5.0,10.0,2022-06-16T07:45:03,2022-06-16T17:41:57,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-06-17,15.0,0.9,7.0,15.0,-0.6,6.5,1.8,72.5,0.0,0.0,0.0,,0.0,0.0,18.0,7.6,204.1,1023.9,10.2,6.3,143.4,12.4,6.0,10.0,2022-06-17T07:45:22,2022-06-17T17:42:04,0.61,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-06-18,16.0,0.3,8.3,16.0,-0.8,7.7,0.7,61.7,0.0,0.0,0.0,,0.0,0.0,15.8,16.6,118.3,1018.7,60.9,6.4,123.0,10.5,5.0,10.0,2022-06-18T07:45:39,2022-06-18T17:42:14,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-06-19,15.0,4.2,8.7,15.0,2.8,8.3,1.6,62.7,0.0,0.0,0.0,,0.0,0.0,15.8,13.0,154.6,1019.3,69.7,5.8,81.7,7.2,3.0,10.0,2022-06-19T07:45:56,2022-06-19T17:42:24,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-06-20,12.2,4.8,7.5,12.2,3.9,7.1,2.7,73.0,0.0,0.0,0.0,,0.0,0.0,19.1,22.3,155.3,1015.9,86.1,5.8,98.8,8.5,4.0,10.0,2022-06-20T07:46:10,2022-06-20T17:42:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-06-21,11.0,3.0,7.0,11.0,1.7,6.6,3.4,79.2,0.0,0.0,0.0,,0.0,0.0,20.9,11.2,169.0,1014.7,90.9,6.1,89.9,7.7,4.0,10.0,2022-06-21T07:46:24,2022-06-21T17:42:49,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"SCEL,85577099999,85574099999",Foggy
"-33.3537,-70.6811",2022-06-22,13.0,4.0,7.9,13.0,2.8,7.5,3.9,76.4,7.0,100.0,70.83,rain,0.0,0.1,26.6,14.8,245.7,1011.9,90.6,6.2,101.6,8.9,5.0,10.0,2022-06-22T07:46:36,2022-06-22T17:43:03,0.78,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-06-23,14.0,6.8,9.9,14.0,6.0,9.2,5.8,77.4,17.1,100.0,91.67,rain,0.0,0.2,41.4,38.9,358.0,1015.8,82.9,9.1,53.0,4.6,2.0,10.0,2022-06-23T07:46:47,2022-06-23T17:43:19,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,remote,85574099999",Rainy
"-33.3537,-70.6811",2022-06-24,11.3,3.4,7.7,11.3,2.1,7.4,4.7,81.5,0.0,0.0,0.0,,0.0,0.0,16.2,7.6,1.0,1019.4,76.9,8.9,72.0,6.2,3.0,10.0,2022-06-24T07:46:57,2022-06-24T17:43:36,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,remote,85574099999",Cloudy
"-33.3537,-70.6811",2022-06-25,16.0,3.7,9.3,16.0,3.7,9.0,4.8,76.3,0.0,0.0,0.0,,0.0,0.0,18.7,11.2,206.1,1016.2,50.0,7.7,121.2,10.5,5.0,10.0,2022-06-25T07:47:04,2022-06-25T17:43:54,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-06-26,12.1,1.0,6.0,12.1,-1.9,5.3,4.2,89.5,2.5,100.0,29.17,"rain,snow",0.0,0.0,22.0,9.4,13.5,1018.9,53.3,3.8,108.2,9.3,5.0,10.0,2022-06-26T07:47:11,2022-06-26T17:44:13,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"SCEL,85577099999,85574099999",Snowy
"-33.3537,-70.6811",2022-06-27,15.1,-1.0,6.7,15.1,-2.9,6.2,3.5,83.4,7.9,100.0,66.67,"rain,snow",0.0,0.0,35.3,20.5,151.2,1022.3,29.4,6.0,104.1,8.8,5.0,10.0,2022-06-27T07:47:16,2022-06-27T17:44:33,0.95,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain or snow throughout the day.,rain,"SCEL,85577099999,85574099999",Snowy
"-33.3537,-70.6811",2022-06-28,17.0,0.8,7.9,17.0,-0.2,7.6,2.5,73.8,0.0,0.0,0.0,,0.0,0.0,18.7,9.4,58.7,1025.9,21.6,6.6,134.3,11.6,6.0,10.0,2022-06-28T07:47:20,2022-06-28T17:44:55,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-06-29,17.0,1.4,9.1,17.0,-4.5,8.7,2.4,65.8,0.0,0.0,0.0,,0.0,0.0,25.9,37.1,119.0,1021.4,47.1,8.7,137.8,11.9,6.0,10.0,2022-06-29T07:47:22,2022-06-29T17:45:18,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85580099999,85577099999,SCTB,remote,85574099999",Cloudy
"-33.3537,-70.6811",2022-06-30,19.0,4.7,10.9,19.0,3.3,10.3,4.7,68.6,0.0,0.0,0.0,,0.0,0.0,22.0,14.8,163.9,1016.6,19.8,8.3,139.9,11.9,6.0,10.0,2022-06-30T07:47:22,2022-06-30T17:45:41,0.05,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-07-01,11.0,4.7,8.0,11.0,4.2,6.3,5.1,82.7,17.2,100.0,62.5,rain,0.0,0.1,66.6,42.5,86.6,1018.1,78.4,8.4,32.4,2.8,2.0,10.0,2022-07-01T07:47:21,2022-07-01T17:46:06,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-02,12.0,-1.0,5.0,12.0,-1.0,4.8,2.3,84.9,0.4,100.0,8.33,"rain,snow",0.0,0.2,19.4,11.2,244.5,1021.2,21.0,6.5,128.8,11.1,6.0,10.0,2022-07-02T07:47:19,2022-07-02T17:46:32,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"SCEL,85577099999,85574099999",Snowy
"-33.3537,-70.6811",2022-07-03,7.0,2.0,4.6,6.6,0.5,4.1,3.0,89.6,0.0,0.0,0.0,,0.0,0.2,12.2,7.6,7.9,1020.1,82.4,5.1,26.2,2.3,1.0,10.0,2022-07-03T07:47:15,2022-07-03T17:46:58,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-07-04,14.0,-1.0,6.2,14.0,-1.0,5.9,2.1,78.9,0.0,0.0,0.0,,0.0,0.2,18.7,11.2,253.4,1023.1,20.2,5.6,139.0,11.9,6.0,10.0,2022-07-04T07:47:09,2022-07-04T17:47:26,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-07-05,14.0,-0.2,6.4,14.0,-1.9,5.9,1.6,74.3,0.1,100.0,4.17,"rain,snow",0.0,0.2,18.7,11.2,229.3,1020.8,0.1,8.8,137.3,11.8,6.0,10.0,2022-07-05T07:47:02,2022-07-05T17:47:55,0.22,"Snow, Rain",Clear conditions throughout the day with early morning snow or rain.,rain,"SCEL,85577099999,remote,85574099999",Snowy
"-33.3537,-70.6811",2022-07-06,9.2,0.0,5.1,7.9,-2.6,3.6,3.3,88.3,3.4,100.0,41.67,rain,0.0,0.1,22.7,18.4,159.6,1020.5,54.0,6.8,46.2,4.0,2.0,10.0,2022-07-06T07:46:53,2022-07-06T17:48:24,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-07,15.1,-0.1,5.9,15.1,-2.1,5.5,2.9,84.4,0.0,0.0,0.0,,0.0,0.1,16.9,7.6,36.2,1016.2,37.2,4.7,136.7,11.9,6.0,10.0,2022-07-07T07:46:43,2022-07-07T17:48:54,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-07-08,15.0,4.0,9.1,15.0,2.5,8.1,6.2,82.9,0.4,100.0,16.67,rain,0.0,0.1,40.0,24.1,172.8,1013.8,48.7,7.5,127.9,11.1,5.0,10.0,2022-07-08T07:46:31,2022-07-08T17:49:25,0.33,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-09,11.0,6.5,8.2,11.0,4.3,6.9,6.0,87.0,20.7,100.0,54.17,rain,0.0,0.0,60.8,24.1,11.5,1013.8,91.2,8.2,59.1,5.1,5.0,10.0,2022-07-09T07:46:18,2022-07-09T17:49:57,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-10,9.0,5.0,6.6,8.6,3.3,5.7,5.3,91.3,35.1,100.0,100.0,rain,0.0,0.2,38.9,14.8,144.8,1016.7,95.4,8.5,39.2,3.4,2.0,10.0,2022-07-10T07:46:03,2022-07-10T17:50:30,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-11,11.3,4.4,7.5,11.3,4.4,7.2,5.0,85.0,8.2,100.0,58.33,rain,0.0,0.8,22.3,11.2,253.3,1023.8,71.5,8.5,105.7,9.2,4.0,10.0,2022-07-11T07:45:46,2022-07-11T17:51:03,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-12,15.0,2.0,7.7,15.0,2.0,7.4,4.0,79.9,0.0,0.0,0.0,,0.0,0.6,15.8,13.0,128.6,1020.5,34.2,7.8,132.9,11.5,6.0,10.0,2022-07-12T07:45:28,2022-07-12T17:51:37,0.46,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-07-13,11.0,1.9,6.9,11.0,-0.2,6.2,4.3,84.4,4.9,100.0,29.17,rain,0.0,0.3,33.1,25.9,147.4,1014.0,64.4,7.5,104.4,9.2,5.0,10.0,2022-07-13T07:45:08,2022-07-13T17:52:11,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-14,11.0,3.1,6.7,11.0,0.6,5.0,3.9,83.1,27.3,100.0,100.0,rain,0.0,3.8,51.5,27.7,61.0,1015.1,86.3,9.2,71.2,6.2,4.0,10.0,2022-07-14T07:44:47,2022-07-14T17:52:47,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,remote,85574099999",Rainy
"-33.3537,-70.6811",2022-07-15,9.0,3.0,5.8,8.7,0.9,4.6,2.9,82.7,6.2,100.0,91.67,rain,0.0,6.0,36.4,22.3,6.6,1016.9,90.7,9.1,79.4,7.0,3.0,10.0,2022-07-15T07:44:24,2022-07-15T17:53:22,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-16,11.0,0.4,5.5,11.0,-1.2,4.6,1.8,79.1,3.1,100.0,37.5,"rain,snow",0.5,6.9,18.7,11.2,138.9,1025.8,35.1,8.4,144.7,12.5,6.0,10.0,2022-07-16T07:43:59,2022-07-16T17:53:58,0.6,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow clearing later.,snow,"SCEL,85577099999,85574099999",Snowy
"-33.3537,-70.6811",2022-07-17,10.0,-0.4,4.7,10.0,-2.3,3.7,0.9,78.1,0.0,0.0,0.0,,0.0,5.8,14.8,13.0,47.1,1021.5,78.8,9.4,87.6,7.5,3.0,10.0,2022-07-17T07:43:33,2022-07-17T17:54:35,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,remote,85574099999",Cloudy
"-33.3537,-70.6811",2022-07-18,18.0,0.0,7.9,18.0,-1.8,7.4,1.4,68.0,0.0,0.0,0.0,,0.0,4.3,19.8,9.4,26.9,1020.9,32.1,8.1,146.1,12.5,6.0,10.0,2022-07-18T07:43:06,2022-07-18T17:55:13,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-07-19,20.0,0.0,9.0,20.0,0.0,8.9,2.1,67.2,0.0,0.0,0.0,,0.0,2.7,20.5,11.2,129.3,1017.6,0.0,8.6,159.9,14.0,6.0,10.0,2022-07-19T07:42:36,2022-07-19T17:55:50,0.7,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-07-20,18.0,1.3,9.0,18.0,0.5,8.6,3.7,72.0,0.0,0.0,0.0,,0.0,1.6,20.2,22.3,164.6,1016.3,0.0,6.8,156.8,13.6,6.0,10.0,2022-07-20T07:42:06,2022-07-20T17:56:28,0.75,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Windy
"-33.3537,-70.6811",2022-07-21,19.0,1.0,9.4,19.0,-2.4,8.9,3.8,72.1,0.0,0.0,0.0,,0.0,0.9,19.4,11.2,154.5,1017.9,0.0,7.0,152.0,13.2,6.0,10.0,2022-07-21T07:41:34,2022-07-21T17:57:07,0.76,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-07-22,21.0,2.0,10.6,21.0,0.5,10.1,3.5,65.5,0.0,0.0,0.0,,0.0,0.5,17.3,14.8,139.1,1016.5,1.1,7.3,153.5,13.4,6.0,10.0,2022-07-22T07:41:00,2022-07-22T17:57:46,0.8,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-07-23,19.0,3.8,10.4,19.0,2.1,9.6,5.9,76.4,0.0,0.0,0.0,,0.0,0.2,16.9,20.5,175.9,1016.9,5.0,7.5,152.5,13.1,6.0,10.0,2022-07-23T07:40:25,2022-07-23T17:58:25,0.83,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Windy
"-33.3537,-70.6811",2022-07-24,13.1,5.0,8.1,13.1,3.3,7.3,7.2,94.7,0.0,0.0,0.0,,0.0,0.1,18.7,24.1,169.0,1017.1,79.7,2.9,143.4,12.4,6.0,10.0,2022-07-24T07:39:48,2022-07-24T17:59:04,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-07-25,14.0,6.9,9.2,14.0,5.6,8.5,6.9,86.9,2.4,100.0,25.0,rain,0.0,0.1,21.6,16.6,200.8,1016.7,90.1,5.3,103.6,9.0,4.0,10.0,2022-07-25T07:39:10,2022-07-25T17:59:44,0.9,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-26,16.0,1.8,8.9,16.0,1.8,8.7,5.3,80.6,6.4,100.0,100.0,"rain,snow",0.0,0.0,22.0,14.8,199.4,1020.5,35.5,7.2,133.6,11.6,5.0,10.0,2022-07-26T07:38:30,2022-07-26T18:00:24,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"SCEL,85577099999,85574099999",Snowy
"-33.3537,-70.6811",2022-07-27,12.1,6.9,9.8,12.1,6.8,9.4,7.3,85.3,6.4,100.0,95.83,rain,0.0,0.0,23.8,18.4,174.3,1023.2,85.3,7.6,121.9,10.6,5.0,10.0,2022-07-27T07:37:49,2022-07-27T18:01:04,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-28,16.1,4.0,9.3,16.1,3.6,8.8,4.8,76.5,1.2,100.0,33.33,rain,0.0,0.0,19.8,13.0,203.4,1022.5,12.9,8.4,164.1,14.1,6.0,10.0,2022-07-28T07:37:07,2022-07-28T18:01:45,0.0,Rain,Clear conditions throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999",Rainy
"-33.3537,-70.6811",2022-07-29,20.5,1.3,9.5,20.5,0.5,9.3,3.6,70.6,0.0,0.0,0.0,,0.0,0.0,19.1,18.4,160.4,1014.3,34.2,7.7,156.1,13.4,6.0,10.0,2022-07-29T07:36:23,2022-07-29T18:02:25,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
